state,district,year,crop_production_tons,cultivated_area_hectares,rice_production,wheat_production,maize_production,fertilizer_usage_tons,irrigated_area_hectares
Andhra Pradesh,Alluri Sitharama Raju,2015,423556,119012,62777,100864,31311,8006,43063
Andhra Pradesh,Alluri Sitharama Raju,2016,368974,35747,103847,13894,17812,3248,35296
Andhra Pradesh,Alluri Sitharama Raju,2017,296158,83015,82302,91138,26666,9199,16750
Andhra Pradesh,Alluri Sitharama Raju,2018,421199,11203,145551,113716,37260,1412,21461
Andhra Pradesh,Alluri Sitharama Raju,2019,425304,79016,139698,127814,58652,4499,54315
Andhra Pradesh,Alluri Sitharama Raju,2020,457940,92754,66556,19427,9569,15933,37452
Andhra Pradesh,Alluri Sitharama Raju,2021,48728,140284,44661,106056,41286,1565,47293
Andhra Pradesh,Alluri Sitharama Raju,2022,184912,31382,146278,16044,17902,13858,20691
Andhra Pradesh,Alluri Sitharama Raju,2023,360368,22925,70644,30051,77072,12332,90198
Andhra Pradesh,Alluri Sitharama Raju,2024,471688,57477,132250,92157,61244,453,48220
Andhra Pradesh,Alluri Sitharama Raju,2025,202521,170850,22216,29106,64376,13307,54993
Andhra Pradesh,Anakapalli,2015,398587,112865,113344,2204,48497,5184,44066
Andhra Pradesh,Anakapalli,2016,459002,54184,141373,78234,48525,1600,8608
Andhra Pradesh,Anakapalli,2017,467474,161213,139214,112859,18256,16689,32047
Andhra Pradesh,Anakapalli,2018,232797,52799,63301,101361,77556,17122,96555
Andhra Pradesh,Anakapalli,2019,325343,35256,43476,10243,38407,8841,35667
Andhra Pradesh,Anakapalli,2020,258805,86395,133698,70385,28162,19831,14080
Andhra Pradesh,Anakapalli,2021,79741,3949,112619,28027,53361,11399,74870
Andhra Pradesh,Anakapalli,2022,436112,70004,25974,8523,4273,5155,85120
Andhra Pradesh,Anakapalli,2023,294896,149780,32855,86226,23559,16425,77721
Andhra Pradesh,Anakapalli,2024,271936,37382,140765,41200,48526,11533,91896
Andhra Pradesh,Anakapalli,2025,187944,119531,110253,73170,78401,18279,84175
Andhra Pradesh,Anantapur,2015,465875,63624,7002,137679,70491,4119,88336
Andhra Pradesh,Anantapur,2016,265661,132047,131964,78279,78708,16187,38132
Andhra Pradesh,Anantapur,2017,250138,40494,128007,126478,1774,1547,14593
Andhra Pradesh,Anantapur,2018,37433,28522,131768,97005,46731,862,71622
Andhra Pradesh,Anantapur,2019,16439,149049,71311,106861,4953,4202,9162
Andhra Pradesh,Anantapur,2020,247656,199512,6989,87856,45163,2851,12860
Andhra Pradesh,Anantapur,2021,60222,46846,144013,70044,70450,759,3013
Andhra Pradesh,Anantapur,2022,381566,175524,84351,84272,51295,18931,86586
Andhra Pradesh,Anantapur,2023,450654,64568,65742,107126,76923,325,96629
Andhra Pradesh,Anantapur,2024,442885,178615,132046,117632,78438,17095,18450
Andhra Pradesh,Anantapur,2025,66724,19415,56733,81351,2092,5660,72070
Andhra Pradesh,Annamayya,2015,158232,61071,25613,99551,32698,8639,31227
Andhra Pradesh,Annamayya,2016,492529,37662,5597,42336,36587,18426,85851
Andhra Pradesh,Annamayya,2017,83076,11758,83433,88428,1069,15949,84767
Andhra Pradesh,Annamayya,2018,232640,132715,121663,46994,32516,3097,14721
Andhra Pradesh,Annamayya,2019,290184,116863,134745,114765,51181,7288,61364
Andhra Pradesh,Annamayya,2020,206959,26229,106693,100979,19796,15647,94505
Andhra Pradesh,Annamayya,2021,376934,152510,66136,41135,13934,6269,36175
Andhra Pradesh,Annamayya,2022,400034,113643,98250,24839,33588,17035,32919
Andhra Pradesh,Annamayya,2023,386878,109822,126449,38429,25128,12356,10934
Andhra Pradesh,Annamayya,2024,479498,52359,131306,135054,41339,11491,21287
Andhra Pradesh,Annamayya,2025,287469,195083,63183,34254,66486,17184,18241
Andhra Pradesh,Bapatla,2015,50005,32319,56276,46574,59888,19437,50508
Andhra Pradesh,Bapatla,2016,302346,136596,130915,27551,69233,6307,45932
Andhra Pradesh,Bapatla,2017,170808,61086,72150,8509,47725,10601,4070
Andhra Pradesh,Bapatla,2018,447957,123609,66852,35382,12759,18402,5268
Andhra Pradesh,Bapatla,2019,182996,184461,55971,136539,32124,14523,33512
Andhra Pradesh,Bapatla,2020,131210,19010,83925,149007,17398,1409,13809
Andhra Pradesh,Bapatla,2021,420913,114862,45557,98902,66143,9991,61472
Andhra Pradesh,Bapatla,2022,70283,181010,140640,133891,40083,5339,52037
Andhra Pradesh,Bapatla,2023,111534,70541,114922,134138,31391,4193,51870
Andhra Pradesh,Bapatla,2024,106665,70250,141735,123122,28136,8848,95979
Andhra Pradesh,Bapatla,2025,59560,92468,142665,127025,51471,3546,73774
Andhra Pradesh,Chittoor,2015,85190,75788,63053,109087,48616,18303,28686
Andhra Pradesh,Chittoor,2016,8066,86533,105161,85323,23638,12460,20377
Andhra Pradesh,Chittoor,2017,418023,164196,116385,66954,17656,1591,5246
Andhra Pradesh,Chittoor,2018,221102,84487,133366,79402,2027,332,54986
Andhra Pradesh,Chittoor,2019,25604,42365,50408,2960,23386,18281,38717
Andhra Pradesh,Chittoor,2020,250605,119896,149243,120022,9258,868,46072
Andhra Pradesh,Chittoor,2021,40332,179744,130123,98489,63865,311,3205
Andhra Pradesh,Chittoor,2022,259042,32568,145205,106868,30525,6370,84603
Andhra Pradesh,Chittoor,2023,203702,195013,20528,26622,25418,19265,41007
Andhra Pradesh,Chittoor,2024,221746,168089,117626,50387,10963,596,94187
Andhra Pradesh,Chittoor,2025,481687,171700,1351,149928,62573,5615,57763
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,11236,151423,7040,27908,4329,16193,88421
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2016,383266,175902,66002,57139,39253,7529,1110
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2017,165430,116640,50570,89840,32139,1674,55476
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2018,197258,112628,13137,24732,17472,15040,25399
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2019,484224,130911,144835,145198,46438,1923,95476
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2020,310840,48766,48545,85772,37408,14073,14094
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2021,130635,77112,38943,111053,12525,2694,37220
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,432356,134478,99946,66087,22371,6904,63489
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2023,71809,133326,97949,60472,39610,3079,44625
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2024,268709,145877,68954,12906,35696,549,77602
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2025,91640,118042,2352,52338,33182,12967,24853
Andhra Pradesh,East Godavari,2015,237657,31073,17921,129731,48770,5854,88964
Andhra Pradesh,East Godavari,2016,436416,134054,89030,48524,26554,17022,61811
Andhra Pradesh,East Godavari,2017,290660,198601,110894,95058,55072,15471,80254
Andhra Pradesh,East Godavari,2018,477243,171564,19771,23364,36040,16761,64600
Andhra Pradesh,East Godavari,2019,173265,82265,6064,50207,21405,592,15230
Andhra Pradesh,East Godavari,2020,67105,92767,125892,32907,48416,13802,68904
Andhra Pradesh,East Godavari,2021,415914,109889,100170,75748,36887,19602,76262
Andhra Pradesh,East Godavari,2022,150781,47886,147335,127035,74309,6755,52458
Andhra Pradesh,East Godavari,2023,438391,12010,36879,52734,3630,1423,37367
Andhra Pradesh,East Godavari,2024,145864,7319,62099,99149,33793,15178,85111
Andhra Pradesh,East Godavari,2025,191179,156281,49701,16376,6552,18879,92712
Andhra Pradesh,Eluru,2015,307874,184752,127030,25199,55584,14529,41145
Andhra Pradesh,Eluru,2016,90882,102909,22393,124541,5985,4496,20074
Andhra Pradesh,Eluru,2017,120091,37564,13848,52602,33559,19958,95318
Andhra Pradesh,Eluru,2018,72149,101640,125499,69715,46644,17824,13646
Andhra Pradesh,Eluru,2019,291230,167877,89949,71172,70860,7653,90531
Andhra Pradesh,Eluru,2020,154446,73544,79851,12218,69578,16009,5643
Andhra Pradesh,Eluru,2021,465028,89036,66367,10703,41728,1445,97809
Andhra Pradesh,Eluru,2022,122084,34497,106716,126949,12381,19840,93650
Andhra Pradesh,Eluru,2023,255918,69635,20961,10276,22212,12886,42181
Andhra Pradesh,Eluru,2024,372377,175883,143348,110346,73964,12225,14988
Andhra Pradesh,Eluru,2025,361462,114962,38273,145420,9759,4875,16290
Andhra Pradesh,Guntur,2015,154583,101550,127002,135385,42441,12371,80008
Andhra Pradesh,Guntur,2016,441859,183170,29178,35866,32478,6716,77984
Andhra Pradesh,Guntur,2017,27607,1364,106419,47323,2657,19353,86937
Andhra Pradesh,Guntur,2018,255072,199356,19387,129231,5527,12497,81079
Andhra Pradesh,Guntur,2019,120842,89346,108013,118666,78117,16413,60237
Andhra Pradesh,Guntur,2020,303466,106906,106107,25031,4843,16827,96558
Andhra Pradesh,Guntur,2021,83094,22225,110007,105395,56734,16640,14634
Andhra Pradesh,Guntur,2022,181283,13970,59622,144478,55284,2170,39483
Andhra Pradesh,Guntur,2023,374961,9073,88575,93795,9922,1439,88750
Andhra Pradesh,Guntur,2024,144807,4140,115081,46290,11523,19985,95181
Andhra Pradesh,Guntur,2025,442531,113488,67338,88281,24999,17832,33064
Andhra Pradesh,Kakinada,2015,349841,192626,146881,43601,77668,19627,49188
Andhra Pradesh,Kakinada,2016,70075,44253,10302,21425,76950,2705,56018
Andhra Pradesh,Kakinada,2017,498511,27632,73771,148164,75087,4729,26129
Andhra Pradesh,Kakinada,2018,367471,112411,114166,6292,44848,5429,11772
Andhra Pradesh,Kakinada,2019,38373,185809,34246,83116,47722,14970,48163
Andhra Pradesh,Kakinada,2020,180413,56536,60862,18525,74138,6058,32926
Andhra Pradesh,Kakinada,2021,55958,127141,146517,74825,13039,8427,37665
Andhra Pradesh,Kakinada,2022,272461,166223,97754,144853,52052,2245,72291
Andhra Pradesh,Kakinada,2023,429898,142982,17263,8411,68166,2023,85658
Andhra Pradesh,Kakinada,2024,114863,167125,23874,126137,51242,2006,43668
Andhra Pradesh,Kakinada,2025,103271,193568,91045,27388,54999,13048,47025
Andhra Pradesh,Krishna,2015,434140,71657,130010,135954,44453,9132,68725
Andhra Pradesh,Krishna,2016,271812,63209,81686,21782,22026,12647,38507
Andhra Pradesh,Krishna,2017,220582,99231,71482,92213,10688,19172,88612
Andhra Pradesh,Krishna,2018,194212,131881,23233,63690,38559,9919,11933
Andhra Pradesh,Krishna,2019,497736,164362,106489,73943,71871,12139,34815
Andhra Pradesh,Krishna,2020,362188,107134,100175,119703,27101,4111,95288
Andhra Pradesh,Krishna,2021,77990,85563,44616,62529,56260,12363,39774
Andhra Pradesh,Krishna,2022,129390,191800,98514,79671,14865,8711,61178
Andhra Pradesh,Krishna,2023,67155,77684,47596,128544,36544,1564,88859
Andhra Pradesh,Krishna,2024,437792,75399,126034,25859,24679,18057,93332
Andhra Pradesh,Krishna,2025,218418,39594,40233,78273,19813,14297,7900
Andhra Pradesh,Kurnool,2015,202330,76464,125432,95684,79258,11083,32046
Andhra Pradesh,Kurnool,2016,151348,44352,145693,97100,57935,11549,32323
Andhra Pradesh,Kurnool,2017,131589,57065,25483,76714,62856,459,57214
Andhra Pradesh,Kurnool,2018,126207,114173,44313,2531,24359,2931,6590
Andhra Pradesh,Kurnool,2019,65274,4222,33381,141713,17028,13673,49764
Andhra Pradesh,Kurnool,2020,439418,137506,141355,31848,44619,461,52093
Andhra Pradesh,Kurnool,2021,438344,95192,30802,76072,59308,1594,17640
Andhra Pradesh,Kurnool,2022,122412,128506,52531,4545,36918,3246,36563
Andhra Pradesh,Kurnool,2023,374974,27314,100103,12183,25691,10696,30131
Andhra Pradesh,Kurnool,2024,438946,62126,110429,3052,76490,10803,56470
Andhra Pradesh,Kurnool,2025,141063,12693,134814,102749,21443,4727,39727
Andhra Pradesh,Nandyal,2015,471987,113088,30477,46626,27583,18956,83697
Andhra Pradesh,Nandyal,2016,495247,13475,63873,65584,27234,13935,6266
Andhra Pradesh,Nandyal,2017,222911,17546,4841,53063,49902,19068,22675
Andhra Pradesh,Nandyal,2018,116797,130435,31678,102678,26639,8927,36056
Andhra Pradesh,Nandyal,2019,20883,140779,98462,87096,75351,15773,86115
Andhra Pradesh,Nandyal,2020,155872,179292,55930,50275,39466,17938,83273
Andhra Pradesh,Nandyal,2021,204914,30625,47667,96990,17845,18490,37280
Andhra Pradesh,Nandyal,2022,498175,84825,31722,54378,20914,19245,83362
Andhra Pradesh,Nandyal,2023,332291,158332,53606,32401,8117,14876,80941
Andhra Pradesh,Nandyal,2024,397199,57554,49470,19380,30624,5293,6131
Andhra Pradesh,Nandyal,2025,190748,64207,50293,126145,13240,7473,8251
Andhra Pradesh,NTR,2015,11763,105362,103004,15723,72188,18435,78248
Andhra Pradesh,NTR,2016,253604,113964,2502,91885,5116,4518,89922
Andhra Pradesh,NTR,2017,19410,56672,126602,7323,67223,17190,52181
Andhra Pradesh,NTR,2018,244598,164571,93115,90003,64925,12149,45250
Andhra Pradesh,NTR,2019,401676,78228,17717,13006,72522,17282,88423
Andhra Pradesh,NTR,2020,248258,51337,111088,20468,69393,11440,30349
Andhra Pradesh,NTR,2021,421488,109327,126046,121757,29238,17023,55243
Andhra Pradesh,NTR,2022,348665,165652,57308,149238,67151,6743,50275
Andhra Pradesh,NTR,2023,403630,157928,113998,143761,75356,2814,71361
Andhra Pradesh,NTR,2024,326909,96411,50239,16722,68019,17906,23884
Andhra Pradesh,NTR,2025,309893,189156,72474,110527,53452,13027,42390
Andhra Pradesh,Palnadu,2015,460589,139098,72800,8845,65349,19084,35704
Andhra Pradesh,Palnadu,2016,23839,14069,41946,76974,73664,4259,17277
Andhra Pradesh,Palnadu,2017,484235,8861,12726,49581,20564,10590,93020
Andhra Pradesh,Palnadu,2018,162135,66309,68592,63699,18403,19358,94887
Andhra Pradesh,Palnadu,2019,363604,61723,14628,111250,71075,13046,44023
Andhra Pradesh,Palnadu,2020,145801,133053,140881,11231,1336,1213,88639
