state,district,year,avg_temperature,annual_rainfall_mm,humidity_percent,heatwave_days,flood_incidents
Andhra Pradesh,Alluri Sitharama Raju,2015,20.72,277,81.71,22,9
Andhra Pradesh,Alluri Sitharama Raju,2016,16.44,225,81.76,34,0
Andhra Pradesh,Alluri Sitharama Raju,2017,39.74,2991,68.17,19,8
Andhra Pradesh,Alluri Sitharama Raju,2018,22.29,1577,61.72,28,3
Andhra Pradesh,Alluri Sitharama Raju,2019,35.09,1303,89.7,32,5
Andhra Pradesh,Alluri Sitharama Raju,2020,31.2,272,71.37,33,2
Andhra Pradesh,Alluri Sitharama Raju,2021,36.28,2447,39.9,13,5
Andhra Pradesh,Alluri Sitharama Raju,2022,29.57,1542,30.48,38,3
Andhra Pradesh,Alluri Sitharama Raju,2023,30.11,1283,74.9,30,10
Andhra Pradesh,Alluri Sitharama Raju,2024,23.71,2137,75.31,29,1
Andhra Pradesh,Alluri Sitharama Raju,2025,28.97,703,83.39,6,10
Andhra Pradesh,Anakapalli,2015,25.7,681,76.18,27,3
Andhra Pradesh,Anakapalli,2016,17.39,1341,45.99,33,5
Andhra Pradesh,Anakapalli,2017,25.45,1460,41.19,26,6
Andhra Pradesh,Anakapalli,2018,16.48,2430,30.22,27,5
Andhra Pradesh,Anakapalli,2019,27.48,1685,91.92,6,4
Andhra Pradesh,Anakapalli,2020,28.09,1613,72.82,28,6
Andhra Pradesh,Anakapalli,2021,34.77,707,68.04,20,3
Andhra Pradesh,Anakapalli,2022,31.68,363,34.43,22,4
Andhra Pradesh,Anakapalli,2023,28.62,2815,90.78,34,9
Andhra Pradesh,Anakapalli,2024,24.34,560,54.76,22,7
Andhra Pradesh,Anakapalli,2025,37.76,976,67.65,32,8
Andhra Pradesh,Anantapur,2015,36.56,2655,53.47,26,4
Andhra Pradesh,Anantapur,2016,18.87,1408,66.66,29,0
Andhra Pradesh,Anantapur,2017,34.97,1750,73.6,19,1
Andhra Pradesh,Anantapur,2018,23.67,2903,68.43,21,8
Andhra Pradesh,Anantapur,2019,22.46,973,83.38,0,7
Andhra Pradesh,Anantapur,2020,19.95,2517,80.54,19,1
Andhra Pradesh,Anantapur,2021,15.02,2830,89.51,38,4
Andhra Pradesh,Anantapur,2022,36.6,490,64.13,37,9
Andhra Pradesh,Anantapur,2023,20.55,2716,91.8,7,10
Andhra Pradesh,Anantapur,2024,26.5,2447,42.68,7,1
Andhra Pradesh,Anantapur,2025,18.05,1151,80.26,4,6
Andhra Pradesh,Annamayya,2015,17.86,1752,30.5,35,0
Andhra Pradesh,Annamayya,2016,25.41,1840,87.31,8,3
Andhra Pradesh,Annamayya,2017,29.72,311,31.66,18,10
Andhra Pradesh,Annamayya,2018,15.4,2994,44.69,3,6
Andhra Pradesh,Annamayya,2019,15.3,2135,76.11,6,6
Andhra Pradesh,Annamayya,2020,22.77,916,68.65,27,10
Andhra Pradesh,Annamayya,2021,27.84,2213,94.86,37,9
Andhra Pradesh,Annamayya,2022,17.15,1058,39.1,5,6
Andhra Pradesh,Annamayya,2023,26.49,509,64.01,24,9
Andhra Pradesh,Annamayya,2024,18.28,2439,33.27,4,10
Andhra Pradesh,Annamayya,2025,16.0,1587,80.31,28,3
Andhra Pradesh,Bapatla,2015,30.93,2900,32.07,11,10
Andhra Pradesh,Bapatla,2016,31.76,2333,89.15,13,5
Andhra Pradesh,Bapatla,2017,18.94,1907,80.46,1,10
Andhra Pradesh,Bapatla,2018,28.95,359,75.79,10,3
Andhra Pradesh,Bapatla,2019,38.91,1440,83.33,34,5
Andhra Pradesh,Bapatla,2020,36.45,973,76.57,20,5
