state,district,year,total_crimes,theft_cases,assault_cases,cyber_crime,fraud_cases
Andhra Pradesh,Alluri Sitharama Raju,2015,7018,2188,132,459,473
Andhra Pradesh,Alluri Sitharama Raju,2016,1915,1894,924,259,250
Andhra Pradesh,Alluri Sitharama Raju,2017,1140,2241,1628,413,735
Andhra Pradesh,Alluri Sitharama Raju,2018,2125,561,88,411,790
Andhra Pradesh,Alluri Sitharama Raju,2019,4704,1795,636,416,450
Andhra Pradesh,Alluri Sitharama Raju,2020,2429,2858,1735,169,591
Andhra Pradesh,Alluri Sitharama Raju,2021,1448,902,261,335,554
Andhra Pradesh,Alluri Sitharama Raju,2022,2464,275,1048,243,68
Andhra Pradesh,Alluri Sitharama Raju,2023,3812,2905,1202,300,42
Andhra Pradesh,Alluri Sitharama Raju,2024,1275,1721,211,41,232
Andhra Pradesh,Alluri Sitharama Raju,2025,8400,729,459,159,501
Andhra Pradesh,Anakapalli,2015,8500,1545,529,165,474
Andhra Pradesh,Anakapalli,2016,8795,859,333,13,592
Andhra Pradesh,Anakapalli,2017,4790,661,602,358,127
Andhra Pradesh,Anakapalli,2018,9829,1932,560,32,68
Andhra Pradesh,Anakapalli,2019,3963,930,1628,111,367
Andhra Pradesh,Anakapalli,2020,6548,885,1399,124,749
Andhra Pradesh,Anakapalli,2021,4235,186,798,95,600
Andhra Pradesh,Anakapalli,2022,4926,2114,347,323,915
Andhra Pradesh,Anakapalli,2023,4645,1188,604,133,569
Andhra Pradesh,Anakapalli,2024,6253,1655,911,324,69
Andhra Pradesh,Anakapalli,2025,9697,218,1600,54,447
Andhra Pradesh,Anantapur,2015,4153,422,10,52,899
Andhra Pradesh,Anantapur,2016,6734,2913,385,152,644
Andhra Pradesh,Anantapur,2017,4277,1044,938,350,11
Andhra Pradesh,Anantapur,2018,7836,321,1550,213,501
Andhra Pradesh,Anantapur,2019,9410,2889,1669,31,156
Andhra Pradesh,Anantapur,2020,1859,2886,1077,59,887
Andhra Pradesh,Anantapur,2021,5442,2524,1180,449,861
Andhra Pradesh,Anantapur,2022,7189,1621,296,249,683
Andhra Pradesh,Anantapur,2023,211,1682,823,405,161
Andhra Pradesh,Anantapur,2024,6736,1277,933,71,193
Andhra Pradesh,Anantapur,2025,3048,314,1086,416,640
Andhra Pradesh,Annamayya,2015,5663,2249,1287,6,224
Andhra Pradesh,Annamayya,2016,6211,967,1053,63,62
Andhra Pradesh,Annamayya,2017,3349,1251,1953,224,901
Andhra Pradesh,Annamayya,2018,6373,857,1030,182,540
