state,district,year,district_gdp,per_capita_income,industrial_output,agriculture_output,service_sector_output
Andhra Pradesh,Alluri Sitharama Raju,2015,48701,252207,77828,14774,4498
Andhra Pradesh,Alluri Sitharama Raju,2016,191123,193423,10375,22476,62858
Andhra Pradesh,Alluri Sitharama Raju,2017,144685,188849,66894,53084,5619
Andhra Pradesh,Alluri Sitharama Raju,2018,97977,74920,59683,58416,51442
Andhra Pradesh,Alluri Sitharama Raju,2019,115766,157557,51181,13277,68838
Andhra Pradesh,Alluri Sitharama Raju,2020,146017,86948,49438,1796,28408
Andhra Pradesh,Alluri Sitharama Raju,2021,7183,73939,78326,51896,89250
Andhra Pradesh,Alluri Sitharama Raju,2022,163586,224134,43431,40067,82128
Andhra Pradesh,Alluri Sitharama Raju,2023,31314,95765,15484,15900,49869
Andhra Pradesh,Alluri Sitharama Raju,2024,111803,278810,28773,49486,78291
Andhra Pradesh,Alluri Sitharama Raju,2025,111754,253647,65259,20709,37434
Andhra Pradesh,Anakapalli,2015,144272,186503,41247,22422,6363
Andhra Pradesh,Anakapalli,2016,11816,168153,35965,57642,62072
Andhra Pradesh,Anakapalli,2017,151781,234535,16967,33095,77767
Andhra Pradesh,Anakapalli,2018,14565,212832,40829,12168,30497
Andhra Pradesh,Anakapalli,2019,129743,262275,38597,40861,64467
Andhra Pradesh,Anakapalli,2020,186006,251939,11066,37079,87419
Andhra Pradesh,Anakapalli,2021,194362,156119,55531,40023,86629
Andhra Pradesh,Anakapalli,2022,10069,275778,78437,46855,33353
Andhra Pradesh,Anakapalli,2023,175545,132446,52890,53578,42531
Andhra Pradesh,Anakapalli,2024,56815,113293,30231,27122,8225
Andhra Pradesh,Anakapalli,2025,49651,107079,69746,12452,17927
Andhra Pradesh,Anantapur,2015,31938,246947,35948,25254,89022
Andhra Pradesh,Anantapur,2016,110059,61913,36126,7331,87634
Andhra Pradesh,Anantapur,2017,108095,201912,46926,54901,26828
Andhra Pradesh,Anantapur,2018,40189,52108,30172,25872,37911
Andhra Pradesh,Anantapur,2019,172984,229810,58356,44905,22564
Andhra Pradesh,Anantapur,2020,142808,131453,34427,5350,67897
Andhra Pradesh,Anantapur,2021,28685,280370,55025,55706,21008
Andhra Pradesh,Anantapur,2022,150871,200372,57347,14316,56227
Andhra Pradesh,Anantapur,2023,192900,260428,53850,49339,52770
Andhra Pradesh,Anantapur,2024,17206,186609,73026,10895,46432
Andhra Pradesh,Anantapur,2025,109831,280301,61530,22911,37154
Andhra Pradesh,Annamayya,2015,97942,67420,56985,59246,64492
Andhra Pradesh,Annamayya,2016,73976,172837,72600,23294,2814
Andhra Pradesh,Annamayya,2017,125767,272297,17124,55047,83671
Andhra Pradesh,Annamayya,2018,9078,90468,48301,16732,6314
Andhra Pradesh,Annamayya,2019,63941,208922,50874,9889,7387
Andhra Pradesh,Annamayya,2020,11356,144902,67963,50298,34186
Andhra Pradesh,Annamayya,2021,23387,86190,55772,32458,14433
Andhra Pradesh,Annamayya,2022,15741,113805,7720,17890,42626
Andhra Pradesh,Annamayya,2023,190389,217838,40475,12245,89235
Andhra Pradesh,Annamayya,2024,121611,64046,77644,48408,5410
Andhra Pradesh,Annamayya,2025,135372,280288,15746,55327,2415
Andhra Pradesh,Bapatla,2015,58661,106549,64027,46310,13670
Andhra Pradesh,Bapatla,2016,60340,286468,67228,28996,49384
Andhra Pradesh,Bapatla,2017,31545,191422,25733,53024,74752
Andhra Pradesh,Bapatla,2018,99318,106363,70569,1069,82666
Andhra Pradesh,Bapatla,2019,27816,79715,24365,11178,41844
Andhra Pradesh,Bapatla,2020,188786,252773,64200,40016,36682
Andhra Pradesh,Bapatla,2021,117074,177187,55110,30071,38753
Andhra Pradesh,Bapatla,2022,149304,299445,70525,45990,64705
Andhra Pradesh,Bapatla,2023,26451,73571,23425,31209,84832
Andhra Pradesh,Bapatla,2024,156475,277783,17171,56313,49078
Andhra Pradesh,Bapatla,2025,196378,263735,45851,29389,22336
Andhra Pradesh,Chittoor,2015,188770,157519,18939,25388,23647
Andhra Pradesh,Chittoor,2016,123984,248119,15202,39568,32568
Andhra Pradesh,Chittoor,2017,63918,53351,71692,16011,36256
Andhra Pradesh,Chittoor,2018,17591,178432,51605,6861,49648
Andhra Pradesh,Chittoor,2019,33357,244364,46392,22996,78541
Andhra Pradesh,Chittoor,2020,166614,184780,18730,49809,65386
Andhra Pradesh,Chittoor,2021,142529,105414,73358,6373,17933
Andhra Pradesh,Chittoor,2022,29778,96699,50260,11654,89986
Andhra Pradesh,Chittoor,2023,82528,82022,1080,16093,57698
Andhra Pradesh,Chittoor,2024,146130,127761,33216,42335,49895
Andhra Pradesh,Chittoor,2025,74734,165727,36270,46049,62354
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,20507,121685,11851,39853,47771
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2016,146279,58727,9389,47178,24023
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2017,18387,95805,74196,57557,89127
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2018,98146,54359,34574,35287,85638
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2019,71656,64366,5809,16384,60820
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2020,15042,78166,67344,27063,26066
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2021,12137,73186,43291,10072,80798
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,154938,63555,66602,51224,33517
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2023,115312,157226,47053,37595,13718
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2024,152367,98890,75289,12045,27376
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2025,71187,293302,13448,9861,36395
Andhra Pradesh,East Godavari,2015,86627,193073,5578,59201,40620
Andhra Pradesh,East Godavari,2016,140020,77644,40366,42701,84071
Andhra Pradesh,East Godavari,2017,33997,167448,78179,46003,72876
Andhra Pradesh,East Godavari,2018,6516,248722,62326,39052,76115
Andhra Pradesh,East Godavari,2019,144164,269251,53091,1753,66851
Andhra Pradesh,East Godavari,2020,99009,101715,6419,56856,13707
Andhra Pradesh,East Godavari,2021,26739,190478,12038,19769,75868
Andhra Pradesh,East Godavari,2022,99727,68779,78474,14026,7976
Andhra Pradesh,East Godavari,2023,86795,291156,31514,24592,16235
Andhra Pradesh,East Godavari,2024,48790,233736,57854,50187,24322
Andhra Pradesh,East Godavari,2025,110035,185017,5865,10551,87900
Andhra Pradesh,Eluru,2015,188943,264991,47441,44143,61995
Andhra Pradesh,Eluru,2016,20970,59050,25577,18912,86607
Andhra Pradesh,Eluru,2017,27809,127664,41586,38276,55259
Andhra Pradesh,Eluru,2018,34356,173613,11721,1103,44989
Andhra Pradesh,Eluru,2019,177543,197226,30713,44223,18797
Andhra Pradesh,Eluru,2020,145480,299307,7816,45038,77773
Andhra Pradesh,Eluru,2021,117708,233238,13841,9716,7051
Andhra Pradesh,Eluru,2022,78187,146184,63988,4028,78133
Andhra Pradesh,Eluru,2023,111889,279085,51388,38098,58598
Andhra Pradesh,Eluru,2024,19058,105466,31861,18302,52876
Andhra Pradesh,Eluru,2025,130829,158586,73053,13238,45561
Andhra Pradesh,Guntur,2015,65723,73471,17097,27351,22420
Andhra Pradesh,Guntur,2016,50251,268525,26162,34133,73241
Andhra Pradesh,Guntur,2017,125551,257487,28405,45727,18928
Andhra Pradesh,Guntur,2018,37460,247988,43450,15490,19781
Andhra Pradesh,Guntur,2019,8323,82419,45503,22471,23302
Andhra Pradesh,Guntur,2020,190597,65756,67043,58030,57092
