state,district,year,literacy_rate,schools,colleges,teachers,students,dropout_rate,digital_classrooms
Andhra Pradesh,Alluri Sitharama Raju,2015,82.44,899,11,7694,180239,10.45,135
Andhra Pradesh,Alluri Sitharama Raju,2016,70.78,969,88,1037,96981,7.59,379
Andhra Pradesh,Alluri Sitharama Raju,2017,84.16,645,197,3689,13273,9.01,86
Andhra Pradesh,Alluri Sitharama Raju,2018,75.81,728,112,476,141834,7.14,175
Andhra Pradesh,Alluri Sitharama Raju,2019,76.21,943,113,5800,137577,4.42,445
Andhra Pradesh,Alluri Sitharama Raju,2020,56.95,213,163,3069,28436,8.46,294
Andhra Pradesh,Alluri Sitharama Raju,2021,58.35,691,101,4626,168212,1.86,241
Andhra Pradesh,Alluri Sitharama Raju,2022,70.93,1101,124,286,168942,6.22,465
Andhra Pradesh,Alluri Sitharama Raju,2023,60.86,1070,128,3440,77196,1.16,333
Andhra Pradesh,Alluri Sitharama Raju,2024,73.18,1987,136,7437,172069,10.5,325
Andhra Pradesh,Alluri Sitharama Raju,2025,61.42,1695,72,7223,45515,12.71,365
Andhra Pradesh,Anakapalli,2015,90.26,1885,23,3216,111877,5.26,191
Andhra Pradesh,Anakapalli,2016,66.41,1752,166,6192,43068,9.74,322
Andhra Pradesh,Anakapalli,2017,59.97,148,31,4352,152419,9.56,57
Andhra Pradesh,Anakapalli,2018,89.82,118,26,6600,157797,6.08,88
Andhra Pradesh,Anakapalli,2019,83.75,378,108,6474,162267,4.82,277
Andhra Pradesh,Anakapalli,2020,91.69,1263,25,2318,49532,4.81,338
Andhra Pradesh,Anakapalli,2021,55.12,103,167,7776,117712,5.83,108
Andhra Pradesh,Anakapalli,2022,73.85,1779,29,7333,189878,7.31,481
Andhra Pradesh,Anakapalli,2023,64.33,1338,36,2855,56694,12.49,118
Andhra Pradesh,Anakapalli,2024,62.65,425,47,7404,33506,8.52,212
Andhra Pradesh,Anakapalli,2025,62.05,1343,98,263,153989,9.18,462
Andhra Pradesh,Anantapur,2015,56.94,568,48,5127,14957,14.4,173
