state,district,year,employment_rate,unemployment_rate,industrial_jobs,agriculture_jobs,service_jobs
Andhra Pradesh,Alluri Sitharama Raju,2015,50.47,6.52,19459,12679,75352
Andhra Pradesh,Alluri Sitharama Raju,2016,58.67,10.98,1341,59177,33293
Andhra Pradesh,Alluri Sitharama Raju,2017,42.31,2.32,20504,57317,16926
Andhra Pradesh,Alluri Sitharama Raju,2018,51.98,11.64,45222,5416,25363
Andhra Pradesh,Alluri Sitharama Raju,2019,68.1,14.67,5171,33648,25949
Andhra Pradesh,Alluri Sitharama Raju,2020,46.13,3.62,17187,86646,15065
Andhra Pradesh,Alluri Sitharama Raju,2021,54.9,14.59,33729,14837,37238
Andhra Pradesh,Alluri Sitharama Raju,2022,47.17,13.86,4730,56858,70772
Andhra Pradesh,Alluri Sitharama Raju,2023,73.15,3.39,11304,26243,43521
Andhra Pradesh,Alluri Sitharama Raju,2024,75.95,9.1,49956,14476,63403
Andhra Pradesh,Alluri Sitharama Raju,2025,47.6,13.28,33459,10314,71148
Andhra Pradesh,Anakapalli,2015,63.93,11.35,7386,42169,77831
Andhra Pradesh,Anakapalli,2016,53.02,11.61,38080,76447,62503
Andhra Pradesh,Anakapalli,2017,69.76,11.36,32566,51041,46658
Andhra Pradesh,Anakapalli,2018,60.5,3.34,27530,83382,78077
Andhra Pradesh,Anakapalli,2019,41.79,5.97,45802,40420,65241
Andhra Pradesh,Anakapalli,2020,69.1,8.74,16147,85092,47461
Andhra Pradesh,Anakapalli,2021,76.26,11.31,42774,46645,26985
Andhra Pradesh,Anakapalli,2022,50.06,6.07,26014,64950,70390
Andhra Pradesh,Anakapalli,2023,50.38,14.5,6674,64015,38931
Andhra Pradesh,Anakapalli,2024,64.6,3.54,21815,43208,21229
Andhra Pradesh,Anakapalli,2025,41.57,9.12,44705,62938,5491
Andhra Pradesh,Anantapur,2015,61.1,13.43,10778,60674,70491
Andhra Pradesh,Anantapur,2016,70.93,10.69,42521,73898,2156
Andhra Pradesh,Anantapur,2017,54.68,9.71,34325,80447,37827
