state,district,year,power_consumption_mwh,renewable_energy_mwh,solar_installations,wind_energy_mwh,electricity_access_percent
Andhra Pradesh,Alluri Sitharama Raju,2015,334664,26591,2372,98687,94.3
Andhra Pradesh,Alluri Sitharama Raju,2016,226164,188548,11941,62333,75.56
Andhra Pradesh,Alluri Sitharama Raju,2017,43703,9472,13139,114980,76.69
Andhra Pradesh,Alluri Sitharama Raju,2018,58789,38818,1844,56528,89.55
Andhra Pradesh,Alluri Sitharama Raju,2019,289064,3090,4936,111271,93.44
Andhra Pradesh,Alluri Sitharama Raju,2020,180244,21448,15409,14542,92.9
Andhra Pradesh,Alluri Sitharama Raju,2021,294274,162293,14791,134604,88.77
Andhra Pradesh,Alluri Sitharama Raju,2022,187612,113096,7833,95597,98.43
Andhra Pradesh,Alluri Sitharama Raju,2023,68350,23707,12267,26602,97.73
Andhra Pradesh,Alluri Sitharama Raju,2024,310488,30977,13028,94913,87.71
Andhra Pradesh,Alluri Sitharama Raju,2025,269931,119873,11031,48953,82.45
Andhra Pradesh,Anakapalli,2015,79321,34521,8401,53352,90.99
Andhra Pradesh,Anakapalli,2016,465164,182301,6460,54132,81.27
Andhra Pradesh,Anakapalli,2017,428910,82784,4709,24823,87.76
Andhra Pradesh,Anakapalli,2018,440991,153146,9898,52477,92.92
Andhra Pradesh,Anakapalli,2019,191955,72900,13933,113131,84.87
Andhra Pradesh,Anakapalli,2020,70786,150537,9124,85059,96.37
Andhra Pradesh,Anakapalli,2021,131898,35386,1081,126251,81.73
Andhra Pradesh,Anakapalli,2022,316563,70271,456,56271,86.44
Andhra Pradesh,Anakapalli,2023,406616,128894,16677,140205,89.98
Andhra Pradesh,Anakapalli,2024,222583,194324,13296,107397,73.85
Andhra Pradesh,Anakapalli,2025,161056,116997,1468,85612,80.32
Andhra Pradesh,Anantapur,2015,75708,8814,2744,96040,81.77
Andhra Pradesh,Anantapur,2016,171094,92123,6715,43322,96.16
Andhra Pradesh,Anantapur,2017,162354,26596,14409,100594,92.16
Andhra Pradesh,Anantapur,2018,280469,86563,18873,20755,71.17
Andhra Pradesh,Anantapur,2019,113524,7780,12031,139262,81.65
Andhra Pradesh,Anantapur,2020,312291,107248,17226,31275,79.53
Andhra Pradesh,Anantapur,2021,274164,114201,13710,116606,97.83
Andhra Pradesh,Anantapur,2022,111226,117415,17151,111860,99.65
Andhra Pradesh,Anantapur,2023,293467,113583,11429,49133,93.48
Andhra Pradesh,Anantapur,2024,486017,169185,7528,103740,98.37
Andhra Pradesh,Anantapur,2025,433115,171819,6138,41355,72.9
Andhra Pradesh,Annamayya,2015,56044,34858,2409,67965,72.79
Andhra Pradesh,Annamayya,2016,490907,60636,17015,137069,96.52
Andhra Pradesh,Annamayya,2017,133588,77229,18722,103695,79.33
Andhra Pradesh,Annamayya,2018,143791,79509,13751,118353,96.57
Andhra Pradesh,Annamayya,2019,279705,85088,4321,42589,80.02
Andhra Pradesh,Annamayya,2020,129082,195623,10202,140638,95.26
Andhra Pradesh,Annamayya,2021,408767,82641,7850,35801,80.23
Andhra Pradesh,Annamayya,2022,253979,56312,2603,109529,76.69
Andhra Pradesh,Annamayya,2023,60211,110020,15159,25558,98.83
Andhra Pradesh,Annamayya,2024,141887,153712,11836,115145,91.73
Andhra Pradesh,Annamayya,2025,257079,805,18333,119801,98.47
Andhra Pradesh,Bapatla,2015,332273,149929,6805,141151,91.57
Andhra Pradesh,Bapatla,2016,255495,120949,1230,41895,89.82
Andhra Pradesh,Bapatla,2017,48747,176984,18474,2733,72.62
Andhra Pradesh,Bapatla,2018,208679,192347,569,79220,80.29
Andhra Pradesh,Bapatla,2019,332241,91430,2094,86062,72.25
Andhra Pradesh,Bapatla,2020,157233,129455,5155,137364,75.74
Andhra Pradesh,Bapatla,2021,74103,12984,15572,61403,86.49
Andhra Pradesh,Bapatla,2022,189035,77832,5076,95344,81.79
Andhra Pradesh,Bapatla,2023,274208,197208,11079,81036,88.92
Andhra Pradesh,Bapatla,2024,41767,161528,18155,91112,95.08
Andhra Pradesh,Bapatla,2025,155518,190752,1265,43540,81.96
Andhra Pradesh,Chittoor,2015,456864,16046,6405,136544,87.98
Andhra Pradesh,Chittoor,2016,126982,88373,11222,17808,84.1
Andhra Pradesh,Chittoor,2017,62567,140126,5315,125401,96.54
Andhra Pradesh,Chittoor,2018,4671,138490,12470,33963,74.56
Andhra Pradesh,Chittoor,2019,433020,126,7886,15326,90.87
Andhra Pradesh,Chittoor,2020,342643,77835,18496,36006,81.8
Andhra Pradesh,Chittoor,2021,186522,161342,14017,18300,76.86
Andhra Pradesh,Chittoor,2022,166298,167939,5042,102992,72.23
Andhra Pradesh,Chittoor,2023,192088,128844,7542,125930,88.02
Andhra Pradesh,Chittoor,2024,50077,111197,4170,2728,87.99
Andhra Pradesh,Chittoor,2025,144748,71834,7294,82326,81.05
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,13764,8673,8348,13990,80.46
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2016,286612,117978,7261,135486,85.28
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2017,432000,83553,13111,144236,99.09
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2018,118913,150161,9760,34182,85.32
