state,district,year,bank_branches,loan_amount,deposit_amount,digital_transactions,financial_inclusion,credit_growth,atm_count
Assam,Golaghat,2025,23.96,24.56,57.51,61.24,32.12,15.75,91.93
Uttar Pradesh,Jaunpur,2016,40.08,65.17,24.04,84.13,10.29,96.03,90.62
Haryana,Kurukshetra,2019,88.2,50.84,12.2,77.19,14.3,97.24,38.53
Bihar,Arwal,2025,19.87,26.54,95.33,39.6,68.95,46.62,83.29
Assam,Dibrugarh,2019,11.82,47.08,62.56,48.93,98.13,91.84,43.63
Rajasthan,Baran,2020,54.46,15.3,35.64,79.38,54.87,85.79,80.21
Uttar Pradesh,Jalaun,2024,22.32,28.04,86.96,86.18,92.26,14.81,43.82
Gujarat,Junagadh,2023,75.21,52.78,21.73,47.79,34.13,60.49,88.97
Bihar,Buxar,2018,87.65,78.84,95.47,97.21,66.67,48.66,87.36
Haryana,Nuh,2025,14.15,73.01,85.27,58.02,27.64,74.3,97.75
Karnataka,Kodagu,2020,54.1,23.32,12.89,67.37,30.86,94.68,97.33
Chhattisgarh,Durg,2019,61.14,91.34,39.4,95.27,31.7,53.33,18.57
Madhya Pradesh,Neemuch,2021,24.93,27.19,35.64,52.99,70.16,65.74,95.37
Punjab,Sangrur,2016,64.13,24.74,63.55,58.61,39.56,18.67,14.66
Rajasthan,Ajmer,2018,90.06,43.18,20.63,98.34,51.62,70.25,43.81
Punjab,Sangrur,2019,16.75,98.15,34.42,36.73,14.09,56.03,16.84
Manipur,Churachandpur,2017,42.75,33.86,90.75,73.92,65.88,97.2,14.27
Punjab,Faridkot,2021,85.9,75.51,19.77,91.17,88.91,96.61,65.68
Jharkhand,Dumka,2016,21.76,82.5,89.86,18.94,46.74,37.4,96.06
Uttar Pradesh,Ayodhya,2024,21.93,80.38,32.95,76.17,12.5,13.58,76.71
Rajasthan,Tonk,2020,70.77,35.17,75.93,62.19,61.99,44.37,77.17
Tamil Nadu,Viluppuram,2025,85.06,54.72,88.64,88.74,34.83,14.97,45.91
Maharashtra,Solapur,2019,29.9,74.07,50.2,49.84,73.02,37.94,37.26
Uttar Pradesh,Gonda,2023,48.56,64.54,38.22,98.76,50.18,12.4,45.2
Kerala,Idukki,2022,46.83,65.37,77.62,26.59,83.69,43.43,63.41
Rajasthan,Churu,2017,76.26,25.42,77.94,11.58,47.85,42.42,28.97
Kerala,Thiruvananthapuram,2024,56.83,31.97,29.51,89.42,79.78,10.68,85.64
Manipur,Kakching,2018,28.49,34.37,76.22,74.35,28.5,44.06,70.76
Jharkhand,Hazaribagh,2019,22.87,98.65,53.71,70.37,33.89,66.69,50.37
Arunachal Pradesh,East Kameng,2018,27.71,33.29,21.21,70.38,98.63,17.75,29.89
Chhattisgarh,Sukma,2022,18.37,18.95,14.03,86.88,91.26,19.15,33.03
Mizoram,Saitual,2019,93.72,54.02,26.69,33.98,38.01,68.13,11.35
Bihar,Begusarai,2018,88.73,26.99,17.1,84.12,94.33,56.03,77.14
Uttar Pradesh,Prayagraj,2023,65.98,38.69,17.02,60.35,60.43,55.33,72.03
Jharkhand,Godda,2025,16.86,63.65,36.23,64.79,68.71,56.75,52.96
Bihar,Gopalganj,2023,71.93,34.62,28.63,27.3,67.54,60.24,43.61
Rajasthan,Balotra,2019,13.62,18.42,29.83,87.18,53.27,25.74,22.94
Karnataka,Koppal,2023,23.3,82.68,69.83,14.11,70.73,35.02,60.46
Odisha,Khordha,2017,35.27,38.63,63.87,58.64,56.24,76.07,53.76
West Bengal,Paschim Medinipur,2022,44.73,86.77,33.37,57.65,67.59,88.77,42.16
Chhattisgarh,Bijapur,2018,66.62,60.82,61.23,89.39,41.94,99.15,98.24
Odisha,Deogarh,2018,82.88,20.71,75.18,73.58,18.73,61.19,86.39
Chhattisgarh,Mungeli,2016,20.47,61.61,91.17,36.17,33.5,71.19,67.88
Maharashtra,Nanded,2018,22.55,48.68,91.62,94.34,84.56,72.8,15.55
West Bengal,Cooch Behar,2020,37.87,34.6,54.3,47.69,20.19,71.91,18.85
Nagaland,Kiphire,2019,24.03,35.98,55.11,61.58,70.82,49.01,75.5
Karnataka,Haveri,2019,51.53,25.06,66.91,59.46,70.62,31.22,20.96
Tamil Nadu,Thiruvarur,2020,24.56,94.77,82.53,85.04,20.44,69.87,95.58
Odisha,Angul,2018,35.98,21.83,34.94,71.29,67.95,56.22,94.15
Haryana,Faridabad,2018,47.45,72.72,67.08,95.2,88.99,92.66,65.71
Kerala,Kozhikode,2019,13.32,33.6,92.47,31.5,68.19,42.06,87.23
Odisha,Puri,2024,18.79,44.01,78.65,47.88,53.23,91.89,97.36
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2023,49.53,85.34,54.7,51.1,53.53,79.62,69.04
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2023,82.07,92.09,81.39,42.53,78.04,65.19,38.53
Assam,Bongaigaon,2025,84.11,23.55,65.91,48.74,30.18,12.59,33.91
Arunachal Pradesh,Changlang,2019,97.01,16.16,63.66,20.27,58.8,30.42,21.98
Maharashtra,Kolhapur,2022,21.02,99.77,69.35,88.14,67.98,18.54,14.8
Haryana,Rewari,2023,99.51,75.57,31.29,67.12,50.23,98.21,80.57
Bihar,Saharsa,2019,70.27,50.02,78.04,22.38,42.55,86.6,69.59
Nagaland,Phek,2021,61.83,82.52,34.19,47.89,29.33,40.39,23.49
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2024,97.77,43.4,17.85,63.62,85.96,83.68,84.7
Manipur,Churachandpur,2017,42.6,21.64,45.54,39.34,66.56,97.79,25.47
Nagaland,Shamator,2022,67.08,82.06,71.01,88.12,57.84,99.83,77.83
Chhattisgarh,Surajpur,2023,56.46,71.76,19.32,47.1,74.32,29.39,88.96
Madhya Pradesh,Bhind,2025,19.34,21.63,51.09,61.13,88.32,59.67,38.54
Karnataka,Kalaburagi,2023,98.66,16.07,18.92,34.8,98.44,30.66,70.3
Uttar Pradesh,Chitrakoot,2023,55.68,61.0,47.54,63.42,52.29,91.93,73.04
