state,district,year,hospital_beds,doctors,nurses,health_index,life_expectancy,vaccination_rate,disease_cases
Telangana,Ranga Reddy,2024,27.05,31.77,41.36,27.5,16.45,72.74,37.76
Madhya Pradesh,Katni,2022,55.05,24.04,50.42,64.26,64.89,17.72,46.51
Rajasthan,Baran,2022,85.44,51.94,23.73,40.05,26.75,95.31,23.58
Rajasthan,Jaisalmer,2020,76.65,16.21,35.74,39.46,85.22,52.56,96.41
Kerala,Kozhikode,2022,66.46,27.72,62.41,67.9,90.26,24.65,91.59
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2019,39.03,95.6,47.12,99.15,77.74,60.91,31.17
Meghalaya,South West Garo Hills,2023,50.33,91.77,16.89,77.08,53.02,86.91,14.57
Maharashtra,Ratnagiri,2021,72.39,85.15,26.23,62.21,99.14,10.74,76.09
Madhya Pradesh,Dewas,2024,99.51,30.22,58.74,54.13,53.01,98.2,79.74
Punjab,Ferozepur,2024,44.73,14.44,20.75,62.29,45.14,38.39,82.31
Assam,Dhubri,2020,85.85,66.09,40.53,87.25,32.43,22.03,93.59
Bihar,Khagaria,2020,11.96,32.01,19.03,13.66,43.54,15.89,57.8
Uttarakhand,Champawat,2015,25.95,28.58,87.44,10.31,17.76,57.37,53.08
Punjab,Patiala,2024,22.72,65.71,66.31,73.42,37.48,19.94,21.09
Madhya Pradesh,Maihar,2017,93.44,65.64,68.38,68.09,37.8,36.59,48.08
Kerala,Malappuram,2016,59.67,83.67,63.8,15.56,46.56,63.68,74.22
Haryana,Panchkula,2018,89.0,57.46,36.65,26.48,46.52,78.76,16.11
Jharkhand,Deoghar,2018,61.83,90.71,72.21,95.57,78.35,68.87,91.05
Assam,Baksa,2016,20.77,56.54,79.11,90.59,22.37,10.49,33.44
Odisha,Dhenkanal,2022,74.18,66.65,29.61,63.24,14.17,85.67,39.6
Jharkhand,East Singhbhum,2015,64.19,17.62,65.48,27.2,61.82,73.35,80.29
Rajasthan,Sawai Madhopur,2018,34.25,70.52,90.78,58.02,41.52,35.51,82.29
Rajasthan,Beawar,2023,52.99,65.42,88.78,27.11,11.8,96.26,87.66
West Bengal,Jalpaiguri,2020,58.46,53.55,30.97,12.88,34.47,92.69,44.8
Tamil Nadu,Salem,2015,21.52,40.63,42.88,84.15,61.91,32.76,89.34
Gujarat,Valsad,2015,68.6,77.51,55.72,36.45,99.52,89.06,63.62
Gujarat,Devbhoomi Dwarka,2024,55.28,30.37,58.8,99.73,97.3,10.52,66.18
Rajasthan,Deeg,2024,94.16,34.64,73.35,26.78,43.99,59.7,15.59
