state,district,year,total_hospitals,government_hospitals,private_hospitals,hospital_beds,icu_beds,ventilators,doctors,nurses,ambulances,primary_health_centers,community_health_centers,maternal_mortality_rate,infant_mortality_rate,life_expectancy,vaccination_rate,health_expenditure_per_capita,patients_per_day
Andhra Pradesh,Alluri Sitharama Raju,2015,49,82,39,1792,433,107,667,572,35,77,40,167.44,17.44,66.56,69.53,3069,1108
Andhra Pradesh,Alluri Sitharama Raju,2016,167,51,76,2051,225,73,1337,2821,43,71,20,176.39,27.78,68.73,91.34,10475,2470
Andhra Pradesh,Alluri Sitharama Raju,2017,287,76,16,3621,206,48,1110,2487,62,35,4,178.62,21.12,73.77,86.9,8487,4949
Andhra Pradesh,Alluri Sitharama Raju,2018,262,68,198,1377,203,13,397,1438,55,58,32,104.56,49.88,65.05,66.65,5324,2086
Andhra Pradesh,Alluri Sitharama Raju,2019,127,26,19,781,32,56,1352,545,75,21,10,198.18,21.12,68.74,92.24,8232,1788
Andhra Pradesh,Alluri Sitharama Raju,2020,144,69,68,3333,131,102,1032,1572,19,7,24,166.66,59.42,65.04,80.45,9675,3696
Andhra Pradesh,Alluri Sitharama Raju,2021,99,8,42,2717,122,101,834,1421,41,58,30,62.23,30.76,73.93,60.63,4512,686
Andhra Pradesh,Alluri Sitharama Raju,2022,71,39,156,370,88,52,1449,2259,70,73,4,190.11,44.07,70.67,80.59,12583,4339
Andhra Pradesh,Alluri Sitharama Raju,2023,239,14,76,3282,145,106,405,818,73,49,26,77.95,40.75,74.51,63.08,7313,156
Andhra Pradesh,Alluri Sitharama Raju,2024,211,73,60,2250,359,136,584,2343,76,73,7,79.59,28.81,70.76,86.44,4032,3401
Andhra Pradesh,Alluri Sitharama Raju,2025,30,54,11,3624,268,89,670,492,13,45,22,85.36,40.61,71.23,92.65,14460,2198
Andhra Pradesh,Anakapalli,2015,241,92,51,3655,265,5,514,2576,21,73,39,74.88,52.22,74.55,78.74,11931,4138
Andhra Pradesh,Anakapalli,2016,42,36,40,2470,451,102,644,2982,35,41,9,93.06,54.69,68.48,94.5,7920,3092
Andhra Pradesh,Anakapalli,2017,268,41,5,1774,169,7,876,527,9,49,37,69.69,26.8,72.3,90.7,5774,1672
Andhra Pradesh,Anakapalli,2018,174,27,138,3706,341,54,891,2063,74,11,32,52.5,30.53,73.73,69.63,12228,1844
Andhra Pradesh,Anakapalli,2019,155,106,57,2241,473,136,320,2687,82,50,29,176.58,51.3,72.72,69.99,10745,2728
Andhra Pradesh,Anakapalli,2020,145,48,127,4328,310,132,1375,533,23,72,36,116.22,11.7,72.99,94.46,14390,2105
Andhra Pradesh,Anakapalli,2021,256,98,10,2606,90,157,982,1696,83,22,10,59.97,16.02,70.55,60.72,14296,4113
Andhra Pradesh,Anakapalli,2022,299,68,38,774,349,122,1444,703,22,39,21,156.38,33.58,70.05,79.25,13051,3944
Andhra Pradesh,Anakapalli,2023,292,72,6,2734,499,139,163,687,44,8,31,60.75,18.76,70.96,62.44,13033,1444
