state,district,year,houses_built,construction_cost,urban_housing_index,rural_housing_index,housing_demand,housing_supply,construction_growth
Rajasthan,Chittorgarh,2019,13.67,72.52,16.98,87.15,22.81,84.45,19.75
Assam,Sivasagar,2022,78.14,22.55,42.21,92.88,75.18,74.52,14.51
Punjab,Gurdaspur,2018,84.43,77.8,87.29,62.85,24.92,74.06,34.3
Maharashtra,Nanded,2019,86.9,99.04,99.31,17.74,37.51,95.81,95.85
Haryana,Jind,2024,31.5,52.71,85.76,59.69,39.8,63.0,77.13
Tamil Nadu,Virudhunagar,2019,22.02,80.92,41.51,56.72,47.81,32.03,66.52
Odisha,Bargarh,2019,26.5,63.95,66.48,39.33,29.66,90.99,99.27
Odisha,Bhadrak,2016,17.09,54.47,96.22,11.84,91.09,35.32,88.8
Sikkim,Namchi,2021,66.95,21.89,33.68,16.92,68.17,23.32,81.9
Kerala,Pathanamthitta,2024,81.79,89.87,80.62,99.99,74.21,57.96,12.23
Andhra Pradesh,Eluru,2022,69.18,29.54,39.82,82.42,75.84,26.77,52.05
Assam,South Salmara-Mankachar,2018,41.29,72.88,64.43,59.89,13.41,82.99,47.47
Karnataka,Davanagere,2022,45.26,38.99,22.18,93.32,92.14,36.5,27.6
Uttar Pradesh,Pratapgarh,2020,94.36,12.0,61.9,97.85,35.6,84.09,56.31
Madhya Pradesh,Anuppur,2016,48.14,22.17,68.68,70.12,44.97,31.33,76.21
Uttar Pradesh,Agra,2023,80.4,23.4,26.24,99.2,69.14,76.92,21.65
Mizoram,Aizawl,2017,47.14,69.12,34.12,33.5,24.87,84.42,92.25
Madhya Pradesh,Shivpuri,2017,73.16,54.3,89.52,46.83,49.88,53.46,95.76
Assam,Majuli,2024,40.2,19.39,53.89,13.44,35.45,93.65,77.97
Manipur,Tengnoupal,2023,53.03,12.72,72.83,62.37,45.08,75.55,66.33
Madhya Pradesh,Sidhi,2019,14.66,44.08,34.21,88.56,68.24,53.01,94.26
Tamil Nadu,Tiruchirappalli,2021,76.72,22.87,85.54,39.21,44.83,65.66,35.23
Odisha,Balangir,2020,60.53,61.11,72.37,86.7,99.15,81.76,86.56
Tamil Nadu,Tiruppur,2021,92.15,54.19,86.06,69.97,24.48,55.01,14.0
Gujarat,Narmada,2016,43.02,34.45,22.62,23.18,89.86,12.85,71.96
Haryana,Rohtak,2017,10.4,46.62,16.87,21.04,14.45,15.42,78.19
Chhattisgarh,Sarangarh-Bilaigarh,2017,40.23,45.48,10.63,73.72,18.99,94.09,73.03
Karnataka,Chitradurga,2019,71.89,24.89,46.53,32.69,96.25,57.89,57.58
Uttar Pradesh,Lucknow,2017,41.52,55.78,44.69,63.16,83.31,79.21,51.93
Tamil Nadu,Chengalpattu,2016,84.93,95.0,31.41,68.97,72.92,30.13,18.05
Meghalaya,South West Khasi Hills,2020,68.56,95.87,53.34,80.93,76.12,60.75,93.14
Odisha,Kendujhar (Keonjhar),2015,60.05,85.77,34.32,59.9,93.06,78.98,54.22
Himachal Pradesh,Kinnaur,2022,89.44,60.66,74.84,37.25,18.99,40.46,40.39
Sikkim,Soreng,2016,45.35,24.45,95.19,38.47,64.24,99.19,13.31
Kerala,Kannur,2020,78.21,20.11,13.55,51.27,84.16,34.65,11.24
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,85.14,14.72,35.27,69.98,32.89,61.34,17.3
Odisha,Kendrapara,2016,46.49,73.39,60.2,85.68,92.41,50.62,41.03
Karnataka,Chikkamagaluru,2024,23.69,17.42,43.61,62.26,94.32,79.69,21.28
Tamil Nadu,Dharmapuri,2017,64.79,20.8,81.52,39.82,55.73,54.24,91.22
Haryana,Kaithal,2015,62.34,16.79,48.75,46.26,25.39,55.72,50.76
Jharkhand,East Singhbhum,2022,12.82,26.77,74.47,70.0,84.28,47.64,34.12
Nagaland,Shamator,2018,92.03,84.86,27.53,93.18,71.72,33.79,39.67
Uttar Pradesh,Aligarh,2021,12.7,26.91,79.08,19.2,24.7,82.1,61.43
Assam,Kamrup Metropolitan,2020,45.8,15.13,37.4,86.91,48.78,51.02,48.51
Madhya Pradesh,Mandsaur,2024,60.43,26.37,55.51,26.87,21.06,23.23,65.13
Maharashtra,Gadchiroli,2020,63.19,41.02,62.42,91.67,85.91,37.72,95.49
Tamil Nadu,Nilgiris,2020,32.18,21.71,75.6,12.47,67.37,90.38,75.7
Telangana,Suryapet,2015,36.44,40.62,42.7,61.23,22.81,55.63,23.12
Mizoram,Lawngtlai,2019,31.58,33.3,91.44,17.48,56.99,80.7,94.42
Assam,Darrang,2024,98.76,84.58,15.79,54.28,54.71,94.8,83.53
Odisha,Dhenkanal,2015,86.46,52.83,22.56,28.82,65.7,93.02,24.04
Tamil Nadu,Mayiladuthurai,2020,91.17,68.25,72.92,15.66,41.98,15.04,13.92
Karnataka,Hassan,2017,85.77,58.4,69.43,23.31,58.85,97.29,18.0
West Bengal,South 24 Parganas,2020,10.38,60.51,35.55,77.26,48.92,49.71,23.78
Assam,Baksa,2020,26.8,96.2,50.21,93.17,51.8,53.93,11.16
Arunachal Pradesh,Changlang,2022,65.13,94.32,88.66,79.49,34.37,10.66,76.6
Assam,Udalguri,2016,17.8,77.92,59.25,10.42,31.26,65.54,92.68
Jharkhand,Seraikela-Kharsawan,2022,94.98,68.84,60.85,84.51,97.62,70.73,46.05
Uttarakhand,Haridwar,2023,13.65,70.92,52.57,84.61,32.26,96.67,94.95
Uttar Pradesh,Gautam Buddha Nagar,2017,19.06,12.93,45.08,48.13,29.84,25.65,28.49
Tamil Nadu,Tiruchirappalli,2016,77.55,46.15,72.17,64.33,77.8,72.88,69.07
Gujarat,Devbhoomi Dwarka,2021,26.38,16.91,22.96,11.38,65.54,90.94,46.72
Telangana,Siddipet,2021,52.86,65.32,82.9,27.17,32.57,25.86,95.85
Madhya Pradesh,Katni,2017,11.26,12.72,76.7,87.59,54.62,71.6,82.33
Gujarat,Aravalli,2018,82.01,23.71,55.06,79.71,39.36,93.47,85.16
Uttar Pradesh,Bareilly,2025,24.25,57.67,43.77,36.81,70.09,15.43,82.49
Arunachal Pradesh,Lower Dibang Valley,2021,29.84,14.79,27.05,22.29,70.57,48.62,21.26
West Bengal,Paschim Bardhaman,2022,64.1,73.11,52.3,15.72,37.57,19.2,82.98
Madhya Pradesh,Narsinghpur,2016,33.81,41.07,10.94,50.58,97.44,27.8,91.22
Uttarakhand,Nainital,2024,60.8,42.37,24.75,51.98,28.15,42.46,64.7
West Bengal,Nadia,2017,18.66,71.15,60.82,28.43,51.45,48.58,31.08
Uttar Pradesh,Hardoi,2019,91.64,46.17,94.96,57.05,67.82,14.26,46.45
Rajasthan,Gangapur City,2017,18.32,82.28,20.46,76.69,17.64,12.36,91.08
Nagaland,Noklak,2025,46.01,19.8,20.52,88.2,54.21,43.5,70.01
Arunachal Pradesh,Kra Daadi,2025,59.3,68.58,36.07,94.33,29.73,21.64,67.4
Madhya Pradesh,Morena,2025,41.76,66.14,76.79,73.56,67.35,82.87,84.18
Karnataka,Mysuru,2024,64.32,80.23,98.0,66.26,88.33,68.37,88.08
Maharashtra,Solapur,2025,40.16,88.62,39.17,85.15,41.94,43.58,69.72
Rajasthan,Pratapgarh,2021,77.12,34.96,56.84,90.63,60.84,58.06,28.06
Maharashtra,Latur,2016,72.64,91.51,74.07,80.54,88.55,58.83,14.25
Karnataka,Raichur,2025,16.33,35.3,18.94,88.67,16.38,57.15,59.72
Karnataka,Ballari,2017,30.06,39.37,40.96,65.62,32.13,17.61,96.2
Gujarat,Tapi,2023,89.97,45.44,49.41,15.52,33.76,77.89,87.73
Uttar Pradesh,Hamirpur,2018,53.12,11.54,95.48,63.31,57.76,22.06,57.05
Jharkhand,Khunti,2023,10.44,32.36,62.03,24.81,96.16,87.45,24.53
Odisha,Gajapati,2023,26.53,39.63,76.54,59.21,47.95,78.16,20.25
Chhattisgarh,Balod,2022,81.65,57.74,41.37,12.32,92.58,18.05,50.06
Bihar,Sheikhpura,2018,82.99,36.99,52.07,80.95,48.58,13.83,26.91
Tamil Nadu,Kallakurichi,2020,78.08,56.57,66.18,86.65,55.94,70.85,39.6
Gujarat,Gandhinagar,2016,49.04,63.56,72.58,64.77,36.68,24.29,53.55
Gujarat,Kheda,2015,89.27,36.58,85.34,83.84,98.55,58.19,76.74
Chhattisgarh,Surajpur,2022,75.68,51.0,54.76,73.18,80.8,21.8,75.74
Madhya Pradesh,Dindori,2024,58.98,57.4,26.34,50.83,85.86,34.31,30.06
Karnataka,Hassan,2015,66.83,56.54,97.96,43.45,92.04,46.38,14.25
Mizoram,Champhai,2025,81.93,65.08,85.89,55.13,11.56,93.3,26.05
Punjab,Tarn Taran,2025,15.09,13.38,25.43,52.99,45.57,98.37,19.66
Uttar Pradesh,Aligarh,2024,84.13,25.27,46.26,67.78,39.74,41.4,11.28
Madhya Pradesh,Dewas,2016,96.48,59.61,87.17,86.63,58.2,49.8,43.38
Odisha,Balasore,2017,69.4,16.79,64.48,41.56,94.08,73.05,54.83
Rajasthan,Baran,2017,24.41,92.42,38.89,81.85,29.26,73.94,17.89
Uttar Pradesh,Siddharthnagar,2023,10.12,55.14,67.36,85.39,51.95,94.83,40.53
Rajasthan,Gangapur City,2019,24.75,78.1,62.34,11.49,16.34,67.97,91.69
Telangana,Hanamkonda,2025,12.58,87.12,99.91,10.83,85.1,75.08,65.71
Bihar,Lakhisarai,2015,54.49,91.03,97.23,89.4,26.57,54.09,55.37
Tamil Nadu,Thanjavur,2020,29.48,14.62,62.52,77.82,54.07,90.66,87.72
Chhattisgarh,Sarangarh-Bilaigarh,2018,54.22,14.4,40.88,96.39,26.51,48.27,81.4
Madhya Pradesh,Umaria,2025,62.7,64.63,55.46,90.74,23.65,59.26,21.84
Himachal Pradesh,Shimla,2016,52.71,36.46,15.82,97.9,82.4,19.04,44.11
Rajasthan,Hanumangarh,2025,16.89,28.03,37.56,89.29,72.57,45.55,71.61
Gujarat,Navsari,2021,63.24,70.82,58.2,29.45,53.33,35.84,18.75
Arunachal Pradesh,East Kameng,2016,67.83,78.58,54.34,40.56,65.28,98.12,84.83
Punjab,Ferozepur,2019,72.22,95.74,68.43,59.63,27.97,80.66,39.94
Odisha,Kendujhar (Keonjhar),2021,12.54,53.23,10.66,37.65,33.6,31.13,20.99
Haryana,Sonipat,2022,43.48,92.71,22.82,53.95,58.19,49.1,80.89
Andhra Pradesh,Chittoor,2015,63.93,24.31,62.44,40.22,91.78,18.2,56.7
Rajasthan,Kekri,2022,22.72,55.3,92.8,22.24,47.12,74.44,60.78
Uttar Pradesh,Kaushambi,2025,11.05,38.71,36.73,67.63,14.6,71.16,37.47
Chhattisgarh,Raigarh,2024,20.77,72.92,18.2,71.04,43.14,24.88,16.62
Manipur,Noney,2025,53.77,62.07,73.28,59.78,58.47,23.15,61.12
Maharashtra,Akola,2015,70.81,18.17,74.25,44.77,85.88,57.47,49.15
Maharashtra,Nanded,2023,53.26,32.04,60.41,36.32,50.04,35.54,97.01
Kerala,Kasaragod,2020,23.05,66.76,39.2,12.0,40.52,14.75,86.5
Maharashtra,Dhule,2023,86.39,28.79,34.23,46.16,89.34,96.97,51.44
Kerala,Palakkad,2022,71.7,31.11,48.35,38.78,43.89,64.0,42.52
Uttar Pradesh,Chandauli,2021,76.61,24.15,68.98,40.19,49.57,10.51,12.38
Karnataka,Uttara Kannada,2024,81.75,95.45,91.81,11.48,17.53,82.85,27.85
Karnataka,Ramanagara,2024,90.55,26.7,26.54,57.69,82.36,33.56,92.93
Andhra Pradesh,Vizianagaram,2024,22.55,96.91,33.7,23.65,82.99,64.21,52.47
Arunachal Pradesh,Anjaw,2017,42.03,11.57,73.31,26.3,38.53,94.97,14.57
Telangana,Nalgonda,2024,53.19,92.47,89.52,89.55,60.33,92.26,24.8
Madhya Pradesh,Ashoknagar,2018,90.79,15.8,85.58,76.67,34.64,39.74,17.73
Madhya Pradesh,Bhopal,2025,92.66,68.42,98.01,51.56,97.33,58.54,92.99
Nagaland,Longleng,2017,86.1,42.78,12.17,37.25,49.03,83.09,19.59
Nagaland,Zunheboto,2022,68.8,20.01,47.85,10.73,30.33,72.01,22.12
Tamil Nadu,Salem,2021,36.79,62.16,73.3,97.68,72.81,41.74,95.73
Telangana,Sangareddy,2019,90.63,33.8,60.09,89.01,42.4,65.68,82.18
Madhya Pradesh,Katni,2023,11.01,58.96,14.33,83.27,65.1,83.99,94.86
Madhya Pradesh,Sidhi,2020,65.55,64.18,58.32,48.37,10.24,82.54,41.29
Madhya Pradesh,Vidisha,2021,15.49,78.26,10.19,45.97,50.94,58.3,59.19
Manipur,Pherzawl,2023,95.03,53.71,73.69,83.38,29.0,50.57,93.26
Rajasthan,Chittorgarh,2025,56.03,16.51,17.5,24.63,81.46,18.58,36.82
Bihar,Gopalganj,2021,35.95,22.0,14.34,65.57,93.89,69.8,77.07
Nagaland,Shamator,2023,48.56,84.17,24.69,97.05,45.76,59.15,72.17
Uttar Pradesh,Kanpur Dehat,2025,86.48,95.29,80.16,71.02,65.88,99.11,31.35
Uttarakhand,Rudraprayag,2018,62.31,23.39,71.63,90.11,73.21,27.23,69.34
Odisha,Deogarh,2018,21.6,36.0,75.19,24.91,41.95,95.24,94.51
Karnataka,Bengaluru Urban,2015,36.73,44.66,27.22,25.89,64.06,45.29,60.94
Maharashtra,Jalna,2025,84.93,89.37,79.65,87.31,70.46,57.5,49.27
Haryana,Fatehabad,2015,42.95,14.41,14.09,71.94,81.95,42.66,52.84
Uttarakhand,Dehradun,2025,41.58,55.53,55.41,71.54,55.0,88.94,23.29
Uttar Pradesh,Siddharthnagar,2023,24.26,82.9,69.41,33.88,51.08,39.48,63.31
Odisha,Balasore,2023,47.88,22.71,83.62,41.88,47.35,21.3,91.58
Bihar,Buxar,2021,50.02,76.37,78.25,35.56,90.95,69.4,18.45
Maharashtra,Akola,2022,93.12,76.31,37.66,60.01,72.36,76.13,79.84
Andhra Pradesh,Guntur,2023,55.1,80.57,92.08,51.88,48.42,58.95,14.36
Jharkhand,Pakur,2022,48.91,69.45,46.58,62.68,17.22,11.01,75.53
Arunachal Pradesh,Leparada,2019,86.54,60.1,77.41,42.17,35.06,10.98,26.74
Madhya Pradesh,Shahdol,2022,82.44,54.67,72.55,43.45,85.54,19.28,22.84
Gujarat,Morbi,2022,57.37,14.19,44.68,29.96,10.83,23.88,43.7
Madhya Pradesh,Vidisha,2016,66.82,45.54,75.38,66.66,78.96,42.74,99.97
Rajasthan,Khairthal-Tijara,2017,69.61,60.99,22.59,82.34,24.57,62.08,11.66
Karnataka,Bidar,2023,31.03,65.75,64.57,26.59,60.5,52.99,72.48
Gujarat,Valsad,2017,81.73,92.96,88.59,41.37,89.09,93.27,99.22
Tamil Nadu,Salem,2020,72.22,53.93,15.13,83.04,87.5,40.34,74.51
Gujarat,Rajkot,2022,56.58,57.57,24.73,81.02,11.51,15.63,56.02
Himachal Pradesh,Shimla,2022,29.04,93.01,17.31,70.84,91.3,40.22,50.54
Rajasthan,Sanchore,2025,40.27,11.06,79.86,98.95,51.73,42.94,21.49
West Bengal,Uttar Dinajpur,2017,82.93,47.33,65.3,26.42,93.14,14.65,69.65
Andhra Pradesh,Parvathipuram Manyam,2019,57.53,11.62,48.34,83.28,38.08,73.18,36.4
Assam,Sonitpur,2015,48.42,38.61,15.78,60.72,10.41,38.58,16.8
Andhra Pradesh,East Godavari,2024,14.0,85.62,14.58,54.46,10.28,16.51,21.37
Uttar Pradesh,Chitrakoot,2025,83.37,90.09,35.32,85.37,61.68,44.24,38.73
Rajasthan,Hanumangarh,2020,32.71,37.9,56.05,84.68,14.35,97.13,79.54
Tamil Nadu,Thoothukudi,2016,70.59,28.93,65.09,90.62,57.05,11.95,87.86
Uttarakhand,Champawat,2019,35.98,83.56,84.16,48.76,45.55,85.48,52.01
Chhattisgarh,Mungeli,2015,98.08,10.34,99.82,50.33,65.73,77.75,55.28
Arunachal Pradesh,Kamle,2016,40.0,15.56,78.03,41.49,75.08,55.33,49.4
Tamil Nadu,Virudhunagar,2015,47.99,100.0,78.65,76.99,80.94,18.93,87.22
Tamil Nadu,Viluppuram,2022,62.09,43.21,92.48,76.12,57.68,79.55,63.34
Andhra Pradesh,West Godavari,2019,86.83,16.36,28.86,91.4,84.34,67.35,33.47
Uttar Pradesh,Bijnor,2024,64.73,42.08,69.58,83.83,13.53,48.56,90.68
Odisha,Nuapada,2020,40.3,53.09,96.48,40.5,45.79,34.16,75.35
Karnataka,Haveri,2021,59.61,22.12,81.51,34.61,66.27,68.83,87.8
