state,district,year,factories,industrial_output,manufacturing_index,employment_rate,electricity_usage,export_value,industrial_growth
Arunachal Pradesh,Upper Subansiri,2015,97.87,23.7,40.47,27.44,42.63,91.29,30.44
Uttar Pradesh,Ballia,2015,89.04,26.47,36.08,83.55,57.89,56.47,75.93
Maharashtra,Hingoli,2024,20.05,92.01,53.47,77.1,28.5,77.67,88.24
Tamil Nadu,Cuddalore,2025,60.6,89.13,60.07,47.16,17.7,13.92,29.47
Odisha,Nabarangpur,2020,27.15,22.35,90.85,97.89,94.32,99.6,92.56
Andhra Pradesh,Parvathipuram Manyam,2023,21.03,96.0,63.24,83.05,27.32,96.89,70.71
Uttar Pradesh,Lakhimpur Kheri,2016,59.84,71.85,37.58,76.7,31.74,90.45,96.77
Rajasthan,Gangapur City,2023,47.56,91.54,75.2,11.69,82.83,20.42,71.29
Tamil Nadu,Krishnagiri,2017,90.19,48.6,83.2,93.95,99.43,92.24,14.64
Punjab,Kapurthala,2016,51.69,56.9,92.91,59.68,61.01,43.6,34.31
Madhya Pradesh,Bhind,2025,73.62,28.15,51.1,95.8,90.01,61.94,86.98
Maharashtra,Yavatmal,2024,22.27,14.06,29.51,96.81,74.18,10.24,78.4
Haryana,Hisar,2017,98.57,50.39,96.9,73.47,55.42,44.39,68.36
West Bengal,Uttar Dinajpur,2021,49.71,34.7,60.93,38.81,59.64,12.28,23.8
Odisha,Kendujhar (Keonjhar),2023,88.15,61.99,52.3,30.61,43.63,93.07,89.51
Bihar,Khagaria,2020,73.38,18.35,65.03,41.62,55.75,63.62,58.08
Assam,Jorhat,2022,47.42,77.22,79.31,24.85,21.81,41.02,14.97
Madhya Pradesh,Betul,2015,61.8,90.38,27.87,86.45,39.41,48.03,18.72
West Bengal,Howrah,2025,47.61,40.36,77.26,13.53,43.09,41.33,86.76
Uttarakhand,Pauri Garhwal,2022,78.34,78.51,74.23,26.43,12.53,42.23,93.3
Karnataka,Gadag,2016,64.71,81.68,24.33,56.96,43.33,17.59,55.06
Karnataka,Vijayanagara,2020,41.64,83.15,91.83,96.57,16.77,74.87,64.08
Tamil Nadu,Tirunelveli,2022,15.94,84.82,75.25,12.64,89.86,23.52,41.57
Tamil Nadu,Sivaganga,2016,49.04,80.79,21.44,66.2,95.96,40.5,44.8
