state,district,year,houses_built,smart_city_projects,water_supply_coverage,internet_penetration_percent,public_transport_projects
Andhra Pradesh,Alluri Sitharama Raju,2015,137599,30,97.16,57.23,5
Andhra Pradesh,Alluri Sitharama Raju,2016,22696,47,71.81,45.69,12
Andhra Pradesh,Alluri Sitharama Raju,2017,122810,27,51.14,63.42,18
Andhra Pradesh,Alluri Sitharama Raju,2018,97526,14,53.1,94.42,16
Andhra Pradesh,Alluri Sitharama Raju,2019,169395,11,83.57,34.53,19
Andhra Pradesh,Alluri Sitharama Raju,2020,60184,14,52.25,59.04,16
Andhra Pradesh,Alluri Sitharama Raju,2021,54702,29,51.34,66.17,3
Andhra Pradesh,Alluri Sitharama Raju,2022,72664,21,57.32,59.83,21
Andhra Pradesh,Alluri Sitharama Raju,2023,105680,0,92.66,64.86,14
Andhra Pradesh,Alluri Sitharama Raju,2024,25912,5,69.86,94.61,17
Andhra Pradesh,Alluri Sitharama Raju,2025,129260,46,62.24,60.87,16
Andhra Pradesh,Anakapalli,2015,89664,18,89.84,86.78,27
Andhra Pradesh,Anakapalli,2016,198698,40,72.15,82.34,23
Andhra Pradesh,Anakapalli,2017,74622,37,95.69,61.54,2
Andhra Pradesh,Anakapalli,2018,12192,2,51.31,32.94,15
Andhra Pradesh,Anakapalli,2019,26643,5,50.51,44.81,2
Andhra Pradesh,Anakapalli,2020,121614,8,40.91,62.42,11
Andhra Pradesh,Anakapalli,2021,98649,0,94.04,83.7,1
Andhra Pradesh,Anakapalli,2022,56451,15,93.76,67.54,4
Andhra Pradesh,Anakapalli,2023,112561,4,80.77,50.6,30
Andhra Pradesh,Anakapalli,2024,149365,36,40.34,67.29,28
Andhra Pradesh,Anakapalli,2025,67391,18,53.65,42.22,10
Andhra Pradesh,Anantapur,2015,95578,0,58.75,41.84,6
Andhra Pradesh,Anantapur,2016,38543,16,85.89,79.38,7
Andhra Pradesh,Anantapur,2017,188930,29,56.31,55.91,0
Andhra Pradesh,Anantapur,2018,83780,24,77.99,54.54,15
Andhra Pradesh,Anantapur,2019,1449,27,95.07,86.62,28
Andhra Pradesh,Anantapur,2020,48870,9,91.48,69.49,18
Andhra Pradesh,Anantapur,2021,124714,46,64.15,41.43,1
Andhra Pradesh,Anantapur,2022,66723,44,93.7,88.17,25
Andhra Pradesh,Anantapur,2023,62792,17,75.54,83.8,23
Andhra Pradesh,Anantapur,2024,143622,17,77.1,36.67,6
Andhra Pradesh,Anantapur,2025,26142,39,44.39,44.99,20
Andhra Pradesh,Annamayya,2015,46567,13,83.61,31.16,25
Andhra Pradesh,Annamayya,2016,79779,30,72.97,73.24,24
Andhra Pradesh,Annamayya,2017,143288,50,97.48,71.74,13
Andhra Pradesh,Annamayya,2018,126191,24,60.08,87.03,5
Andhra Pradesh,Annamayya,2019,147359,50,84.58,72.47,12
