state,district,year,internet_users,broadband_users,mobile_subscribers,internet_penetration,5g_coverage,data_usage,digital_services
Bihar,Sheohar,2019,52.89,17.04,68.14,79.09,72.98,60.0,14.45
West Bengal,Dakshin Dinajpur,2015,48.74,49.69,63.86,89.29,52.72,61.91,15.15
Tripura,Unakoti,2021,56.47,37.08,53.74,39.16,54.82,32.67,99.15
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2019,86.57,85.07,18.75,29.76,66.92,25.69,48.52
Himachal Pradesh,Chamba,2019,65.84,97.18,76.55,36.62,41.01,60.63,74.05
Meghalaya,South Garo Hills,2022,68.45,29.48,40.28,47.14,60.71,15.58,27.78
Telangana,Medak,2025,75.46,70.93,13.99,47.15,25.89,14.07,88.64
Chhattisgarh,Sakti,2015,90.34,17.79,79.99,75.96,47.84,74.84,38.74
Rajasthan,Neem Ka Thana,2019,81.23,28.03,26.29,67.91,85.77,20.53,41.62
Chhattisgarh,Janjgir-Champa,2021,38.95,57.43,22.6,68.75,54.27,54.24,60.67
Gujarat,Aravalli,2015,99.77,83.12,47.61,68.98,39.14,55.22,88.75
Meghalaya,South Garo Hills,2017,44.55,95.81,80.83,30.16,71.69,49.14,59.25
Arunachal Pradesh,Lower Siang,2025,23.33,65.52,53.0,59.99,30.36,82.28,34.83
Maharashtra,Sindhudurg,2023,14.7,52.91,67.7,60.61,47.5,81.97,28.74
Andhra Pradesh,Anantapur,2023,77.3,11.58,48.87,50.35,14.38,65.08,61.51
Maharashtra,Osmanabad (Dharashiv),2016,86.15,69.07,84.05,45.0,11.27,81.29,91.63
Uttar Pradesh,Hamirpur,2015,20.94,21.44,23.52,43.57,25.94,67.05,20.12
Mizoram,Mamit,2022,66.61,41.81,19.87,41.42,12.58,95.71,97.78
Punjab,Moga,2021,60.75,70.7,77.89,89.4,77.27,20.9,54.53
Punjab,Faridkot,2020,76.41,81.79,72.53,18.31,85.94,50.05,28.19
Bihar,Madhubani,2015,69.39,29.22,30.89,91.41,58.48,14.92,79.91
Maharashtra,Hingoli,2020,11.77,80.32,41.15,34.01,15.85,82.75,68.43
Tamil Nadu,Kanchipuram,2017,45.76,45.71,82.82,74.48,97.76,11.07,89.69
Madhya Pradesh,Bhopal,2017,37.79,97.63,60.13,14.35,30.94,51.08,24.3
Rajasthan,Gangapur City,2024,99.97,39.09,89.6,70.69,99.65,77.99,70.67
Uttarakhand,Rudraprayag,2020,42.08,68.17,25.12,17.71,64.01,42.29,28.13
Andhra Pradesh,East Godavari,2023,17.61,11.72,10.39,40.41,22.06,98.49,11.96
Chhattisgarh,Korba,2018,67.52,84.32,98.67,55.23,41.45,56.1,18.77
Karnataka,Vijayanagara,2019,62.47,76.89,93.01,32.26,23.6,73.11,34.39
Kerala,Ernakulam,2016,19.58,71.34,22.67,43.99,85.21,69.29,33.72
Uttarakhand,Haridwar,2022,13.06,89.41,24.47,58.13,12.64,98.48,66.93
Chhattisgarh,Gaurela-Pendra-Marwahi,2015,97.71,59.46,19.26,18.13,81.07,75.63,85.38
Assam,South Salmara-Mankachar,2019,56.67,50.38,83.27,52.59,84.46,19.58,68.45
Tamil Nadu,Thiruvallur,2023,57.96,14.83,56.98,28.6,71.42,11.51,64.26
Haryana,Bhiwani,2023,97.19,48.93,39.81,56.26,95.34,75.92,19.93
Tamil Nadu,Namakkal,2018,16.08,51.76,37.37,92.17,90.4,27.09,59.17
Bihar,Kaimur,2018,92.99,62.28,78.12,33.82,29.69,33.46,94.87
Punjab,Mansa,2019,94.71,90.42,84.51,59.79,10.25,19.84,75.74
Himachal Pradesh,Una,2024,88.46,41.81,23.07,58.9,30.37,87.68,56.67
Tamil Nadu,Dharmapuri,2018,44.14,81.47,75.82,87.03,43.55,74.57,94.7
Rajasthan,Dungarpur,2025,10.75,15.78,41.7,84.64,36.85,63.62,39.12
