state,district,year,literacy_rate,male_literacy_rate,female_literacy_rate,schools,teachers,students
Andhra Pradesh,Alluri Sitharama Raju,2015,77.21,70.82,93.68,1399,2135,71789
Andhra Pradesh,Alluri Sitharama Raju,2016,88.54,78.04,89.47,1686,1655,127333
Andhra Pradesh,Alluri Sitharama Raju,2017,67.08,68.64,95.49,774,4093,18516
Andhra Pradesh,Alluri Sitharama Raju,2018,59.17,90.89,86.75,1541,4241,18669
Andhra Pradesh,Alluri Sitharama Raju,2019,59.69,83.52,67.54,960,2957,17360
Andhra Pradesh,Alluri Sitharama Raju,2020,55.66,81.06,52.51,1019,2446,113414
Andhra Pradesh,Alluri Sitharama Raju,2021,93.88,90.47,92.52,96,5715,76567
Andhra Pradesh,Alluri Sitharama Raju,2022,55.51,90.95,61.59,472,6059,89297
Andhra Pradesh,Alluri Sitharama Raju,2023,56.65,76.22,87.73,1149,4385,136119
Andhra Pradesh,Alluri Sitharama Raju,2024,88.87,84.97,75.24,194,1334,19730
Andhra Pradesh,Alluri Sitharama Raju,2025,82.89,87.85,65.92,1898,382,61497
Andhra Pradesh,Anakapalli,2015,58.32,65.95,81.72,632,6968,150025
Andhra Pradesh,Anakapalli,2016,79.39,73.71,85.31,1009,5811,101540
Andhra Pradesh,Anakapalli,2017,79.87,75.32,75.25,1865,2952,77430
Andhra Pradesh,Anakapalli,2018,57.81,66.64,93.62,482,7326,150397
Andhra Pradesh,Anakapalli,2019,68.91,77.92,75.41,1589,557,133031
Andhra Pradesh,Anakapalli,2020,61.52,65.6,90.01,1112,527,10896
Andhra Pradesh,Anakapalli,2021,80.01,79.8,75.26,1243,5921,185877
Andhra Pradesh,Anakapalli,2022,82.79,77.9,75.32,527,312,91565
Andhra Pradesh,Anakapalli,2023,67.07,67.94,71.33,278,3320,17629
Andhra Pradesh,Anakapalli,2024,72.08,97.75,67.67,1128,7190,196784
Andhra Pradesh,Anakapalli,2025,83.97,71.56,91.71,1324,7645,152229
Andhra Pradesh,Anantapur,2015,57.38,93.48,74.31,879,2829,131732
Andhra Pradesh,Anantapur,2016,72.59,93.28,85.09,612,2451,153003
Andhra Pradesh,Anantapur,2017,79.4,72.31,93.53,989,7583,106508
Andhra Pradesh,Anantapur,2018,83.88,71.63,90.19,1336,5672,155120
Andhra Pradesh,Anantapur,2019,94.2,78.02,66.89,804,2120,86151
Andhra Pradesh,Anantapur,2020,79.78,75.11,96.89,1145,4857,145826
Andhra Pradesh,Anantapur,2021,85.41,84.68,53.95,1241,2204,59260
Andhra Pradesh,Anantapur,2022,78.84,85.36,81.05,586,5430,57502
Andhra Pradesh,Anantapur,2023,69.34,78.4,89.58,1934,6657,57667
Andhra Pradesh,Anantapur,2024,71.1,74.05,82.43,1104,6934,189531
Andhra Pradesh,Anantapur,2025,76.44,94.33,92.97,311,4584,166070
Andhra Pradesh,Annamayya,2015,69.73,64.33,95.78,498,1983,108511
Andhra Pradesh,Annamayya,2016,61.02,97.46,72.53,1300,2793,149185
Andhra Pradesh,Annamayya,2017,75.36,91.91,76.36,482,2466,102155
Andhra Pradesh,Annamayya,2018,63.51,84.21,66.88,1116,2318,102279
Andhra Pradesh,Annamayya,2019,85.0,82.77,80.27,1751,1526,75791
Andhra Pradesh,Annamayya,2020,91.26,88.34,50.63,379,522,6655
Andhra Pradesh,Annamayya,2021,76.09,76.79,58.89,918,4080,162004
Andhra Pradesh,Annamayya,2022,85.81,61.14,71.93,1464,490,80778
Andhra Pradesh,Annamayya,2023,82.47,62.17,85.49,215,2348,77424
Andhra Pradesh,Annamayya,2024,75.23,60.42,56.32,1409,2714,81545
Andhra Pradesh,Annamayya,2025,56.75,74.02,83.46,1396,4605,45308
Andhra Pradesh,Bapatla,2015,67.75,92.58,81.75,1144,7249,96626
Andhra Pradesh,Bapatla,2016,96.84,73.79,94.25,1264,1094,2116
Andhra Pradesh,Bapatla,2017,85.04,97.89,93.8,1618,4728,150982
Andhra Pradesh,Bapatla,2018,57.56,66.51,78.47,1823,319,142412
Andhra Pradesh,Bapatla,2019,95.97,70.21,51.8,946,7024,116621
Andhra Pradesh,Bapatla,2020,64.69,98.17,85.4,1792,743,186690
