state,district,year,malnutrition_rate,undernourishment,child_stunting,child_wasting,vitamin_deficiency,obesity_rate,nutrition_programs
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2021,75.49,20.53,98.6,18.09,72.08,31.51,22.25
Tamil Nadu,Perambalur,2016,32.94,51.67,82.17,94.63,34.23,46.06,60.16
Rajasthan,Dholpur,2017,94.9,94.67,66.25,93.12,16.47,59.87,40.28
Uttar Pradesh,Unnao,2023,76.17,55.95,38.22,15.54,79.19,89.5,83.37
Tamil Nadu,Dindigul,2023,68.63,75.03,95.28,63.53,62.59,65.32,72.98
Madhya Pradesh,Sehore,2019,98.55,31.59,93.65,24.15,10.63,92.45,28.36
Tamil Nadu,Tiruchirappalli,2022,98.95,80.43,19.65,41.74,78.17,69.08,96.09
Karnataka,Haveri,2024,29.89,35.32,53.64,15.51,48.03,41.81,42.54
Rajasthan,Salumbar,2017,39.03,94.09,85.28,41.5,64.25,81.5,79.95
Chhattisgarh,Dantewada,2024,92.05,56.48,25.46,12.87,95.73,97.78,32.68
Punjab,Mansa,2021,16.01,62.96,20.25,92.88,88.0,16.96,65.03
Jharkhand,Ranchi,2024,57.84,39.07,70.43,42.67,10.36,23.91,33.21
Uttar Pradesh,Banda,2015,35.78,66.45,92.11,31.81,57.49,59.02,94.2
Meghalaya,Ri Bhoi,2025,40.99,28.16,44.66,22.24,12.57,59.96,33.39
Odisha,Cuttack,2020,89.11,41.14,89.34,65.32,29.27,64.89,14.57
Gujarat,Mahisagar,2015,26.85,95.05,64.84,46.11,40.4,56.09,28.22
Karnataka,Bengaluru Urban,2018,38.83,31.96,74.97,96.38,92.79,25.51,61.31
Karnataka,Dharwad,2016,74.78,90.36,64.84,32.42,66.71,76.5,62.47
Telangana,Peddapalli,2019,61.09,33.51,78.18,58.14,55.81,79.77,27.33
Chhattisgarh,Dhamtari,2022,42.96,89.26,41.29,18.93,59.2,73.08,88.94
Arunachal Pradesh,Tawang,2023,55.39,38.78,94.64,49.38,97.71,40.7,49.77
Chhattisgarh,Balrampur,2022,96.42,79.1,86.52,71.44,66.76,74.33,18.79
Gujarat,Panchmahal,2020,98.35,54.52,18.78,47.83,16.52,30.3,35.62
Uttar Pradesh,Lalitpur,2016,17.96,95.1,63.5,72.33,57.25,48.61,42.09
Chhattisgarh,Bilaspur,2020,53.89,11.35,59.42,85.0,47.19,43.86,67.56
Madhya Pradesh,Sagar,2019,20.34,90.31,86.54,66.12,13.61,88.4,12.54
Bihar,Nalanda,2021,95.28,45.49,85.4,94.01,48.71,52.63,83.66
Odisha,Malkangiri,2025,76.53,11.62,62.9,36.63,62.2,15.21,61.55
Rajasthan,Khairthal-Tijara,2025,94.45,23.42,67.34,36.36,14.66,93.04,28.13
Chhattisgarh,Sukma,2016,17.83,27.19,53.62,94.39,39.65,89.45,42.5
Tamil Nadu,Vellore,2022,39.64,63.96,90.25,76.04,41.71,34.6,66.54
Telangana,Mahabubabad,2022,55.13,26.39,75.63,63.96,84.64,17.38,18.86
Uttar Pradesh,Gorakhpur,2022,97.55,13.24,89.43,19.99,22.37,89.42,74.24
Gujarat,Kutch,2015,94.36,66.41,46.18,80.27,15.59,43.85,40.32
Punjab,Tarn Taran,2018,66.48,69.7,32.3,78.5,12.62,66.74,54.36
Bihar,Aurangabad,2021,68.47,57.16,10.01,88.46,44.19,60.76,73.25
Chhattisgarh,Surguja,2019,89.66,10.93,16.54,45.83,90.04,58.73,12.22
Odisha,Balasore,2016,82.92,41.21,16.83,51.81,87.46,83.29,72.08
Tamil Nadu,Namakkal,2023,78.23,69.48,86.58,20.67,66.49,97.5,25.02
Arunachal Pradesh,Namsai,2020,77.73,39.17,34.29,73.87,94.97,16.1,83.14
Bihar,Purnia,2015,68.8,56.73,40.2,64.69,82.24,41.68,18.27
Uttar Pradesh,Jhansi,2021,71.77,37.09,74.35,99.11,30.61,92.96,37.25
Madhya Pradesh,Bhind,2019,91.11,23.43,46.18,42.68,76.37,93.08,29.14
Andhra Pradesh,Guntur,2015,88.04,55.93,35.61,58.17,69.58,19.53,35.26
West Bengal,Nadia,2022,44.46,44.02,51.49,33.09,87.34,86.98,48.99
West Bengal,Purba Medinipur,2019,74.41,81.28,56.62,76.01,59.72,69.63,68.36
West Bengal,Birbhum,2021,44.69,41.35,76.42,22.71,44.92,22.34,65.49
Telangana,Ranga Reddy,2024,77.0,23.25,21.25,76.53,41.49,76.14,67.26
Tamil Nadu,Chengalpattu,2025,89.87,17.33,62.37,51.95,29.92,69.7,85.88
Maharashtra,Ratnagiri,2022,42.69,13.82,56.71,55.62,25.81,30.52,66.16
Madhya Pradesh,Narsinghpur,2022,20.26,59.68,72.75,57.37,51.61,34.34,28.51
Jharkhand,Dhanbad,2015,82.68,68.88,33.36,54.44,69.55,36.83,21.13
Madhya Pradesh,Mandla,2016,70.91,52.97,52.79,78.64,39.53,80.02,55.46
Odisha,Boudh,2017,49.39,70.72,61.54,54.77,63.18,15.11,35.87
Sikkim,Gyalshing,2020,21.18,41.56,59.1,78.28,32.24,61.72,56.88
Madhya Pradesh,Bhopal,2015,30.88,91.14,13.73,25.34,86.21,22.76,46.96
Gujarat,Patan,2016,17.95,86.26,82.62,54.31,97.34,80.28,21.05
Manipur,Ukhrul,2020,21.8,42.25,70.6,72.71,89.45,33.84,19.57
Uttar Pradesh,Sant Kabir Nagar,2019,37.4,34.62,79.31,64.75,16.27,29.48,23.05
Uttar Pradesh,Prayagraj,2020,36.53,34.2,81.03,11.76,96.09,33.83,46.61
Madhya Pradesh,Shajapur,2018,85.43,42.86,93.94,68.31,58.08,73.92,96.34
Assam,Morigaon,2016,70.21,94.47,11.26,48.57,90.58,13.75,19.51
Uttarakhand,Pithoragarh,2022,57.04,84.36,14.82,92.02,70.08,21.99,46.71
Chhattisgarh,Mungeli,2017,55.7,35.29,22.73,14.11,63.4,34.66,69.12
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,86.09,22.17,15.76,18.6,37.01,71.43,47.02
Madhya Pradesh,Rajgarh,2022,29.99,89.48,69.25,86.7,51.14,16.64,36.14
Madhya Pradesh,Dindori,2024,65.02,97.94,44.01,13.74,39.8,78.53,13.81
Odisha,Bhadrak,2020,70.31,68.3,27.65,85.92,40.81,69.88,72.08
Andhra Pradesh,Kakinada,2023,23.59,43.47,47.12,23.11,12.76,41.02,88.59
Bihar,Munger,2025,58.4,40.82,82.68,89.66,31.6,99.21,75.54
Nagaland,Peren,2022,87.95,71.57,10.46,78.84,64.12,11.11,97.72
Himachal Pradesh,Bilaspur,2025,42.45,27.17,56.34,82.09,29.39,97.98,73.17
Himachal Pradesh,Sirmaur,2020,52.07,97.11,80.58,20.32,94.66,65.16,76.98
Arunachal Pradesh,Dibang Valley,2015,30.79,94.61,96.23,78.46,93.81,54.36,55.96
Karnataka,Ballari,2021,39.25,90.88,44.39,84.35,59.27,22.67,22.6
Chhattisgarh,Balrampur,2017,66.26,15.75,67.82,63.81,19.65,51.48,42.02
Bihar,Banka,2022,21.84,69.67,32.35,54.12,72.14,43.84,37.41
Chhattisgarh,Janjgir-Champa,2017,26.84,23.74,39.03,83.65,87.25,49.16,40.28
West Bengal,Bankura,2022,64.51,95.08,55.61,53.49,69.2,28.05,84.65
Maharashtra,Ahmednagar,2020,72.13,41.64,71.15,32.92,95.75,75.52,84.82
Maharashtra,Ahmednagar,2019,18.89,34.31,98.4,12.88,75.71,77.36,16.78
Odisha,Jharsuguda,2021,27.42,75.64,76.63,53.02,94.25,52.16,49.24
Haryana,Jind,2021,77.77,95.35,18.75,24.49,86.93,38.34,15.85
Nagaland,Longleng,2023,78.75,66.56,12.51,63.06,22.49,56.09,95.02
Madhya Pradesh,Guna,2021,44.89,40.98,25.3,96.84,62.08,33.14,82.49
Nagaland,Shamator,2015,69.43,28.12,33.22,24.45,27.56,58.88,57.96
Rajasthan,Sri Ganganagar,2016,91.5,71.78,68.15,28.53,43.01,78.74,28.26
Nagaland,Tuensang,2018,38.0,63.18,11.79,82.31,17.83,83.34,91.83
Uttarakhand,Almora,2020,82.45,38.35,36.27,67.12,28.22,54.73,70.94
Odisha,Ganjam,2024,31.82,94.26,41.62,42.84,11.15,16.29,20.41
Maharashtra,Hingoli,2020,97.94,35.51,46.62,14.12,87.73,21.85,87.69
Tamil Nadu,Salem,2018,88.98,45.02,53.31,53.52,78.48,92.63,78.9
Karnataka,Chitradurga,2024,68.94,73.87,93.75,75.2,77.7,81.71,43.13
Andhra Pradesh,Guntur,2017,63.18,85.52,67.43,38.63,56.75,14.15,94.63
Telangana,Medchal-Malkajgiri,2015,31.99,80.98,65.27,14.5,16.21,90.64,81.26
Maharashtra,Jalna,2024,44.4,97.16,62.3,37.72,73.25,71.47,74.4
Chhattisgarh,Dantewada,2022,28.93,70.55,72.67,55.45,72.75,61.91,23.88
Punjab,Gurdaspur,2025,35.25,98.24,87.57,52.28,52.77,92.72,62.82
Gujarat,Ahmedabad,2017,17.49,78.44,65.64,65.02,98.54,88.94,39.07
Assam,West Karbi Anglong,2017,19.09,91.37,90.41,33.77,60.53,22.83,13.51
Karnataka,Chitradurga,2018,55.72,83.63,31.87,82.36,68.49,41.42,74.04
Madhya Pradesh,Balaghat,2015,49.33,92.37,26.66,37.87,56.12,88.87,10.45
Rajasthan,Banswara,2017,34.63,49.32,29.71,36.98,26.51,17.69,98.16
Uttar Pradesh,Chandauli,2021,37.54,15.28,62.38,32.45,61.82,12.92,12.57
Bihar,Siwan,2017,99.5,37.81,90.6,19.79,99.48,92.55,87.88
Andhra Pradesh,Kakinada,2025,19.61,27.48,82.27,10.75,70.19,59.85,44.01
Tamil Nadu,Tenkasi,2020,39.18,36.04,43.12,29.89,23.03,72.55,92.27
Rajasthan,Churu,2015,10.92,83.18,31.68,55.83,36.06,75.05,49.98
Meghalaya,South West Khasi Hills,2022,58.58,35.97,36.43,85.93,84.4,97.39,92.78
West Bengal,South 24 Parganas,2020,14.3,60.23,64.04,23.02,53.11,71.63,57.86
Chhattisgarh,Dhamtari,2025,46.73,96.16,91.23,93.72,51.99,99.13,60.08
Rajasthan,Sikar,2024,40.2,17.24,80.82,45.84,43.83,92.94,97.06
Uttar Pradesh,Agra,2018,65.31,38.68,32.74,18.7,28.39,52.87,83.22
Mizoram,Hnahthial,2021,78.11,98.8,80.29,66.83,18.93,58.24,10.53
Haryana,Gurugram,2025,82.3,15.76,57.98,22.13,56.98,64.24,87.22
Assam,Tinsukia,2017,15.67,44.49,83.3,33.23,68.82,93.99,80.55
Karnataka,Chitradurga,2015,30.81,84.11,54.74,18.54,79.79,72.14,12.95
Madhya Pradesh,Sidhi,2025,82.37,68.33,99.97,68.1,40.72,92.7,27.0
Haryana,Panchkula,2016,82.88,66.29,50.13,34.83,37.76,19.72,44.38
Chhattisgarh,Bilaspur,2025,55.87,80.59,36.32,45.9,93.84,18.61,84.2
Bihar,Kishanganj,2016,11.99,18.58,34.81,45.65,11.91,33.61,47.63
Uttar Pradesh,Balrampur,2019,13.37,60.11,54.04,82.62,18.6,24.47,10.63
West Bengal,Kolkata,2018,91.09,71.28,26.52,66.51,65.39,30.0,91.28
Uttar Pradesh,Azamgarh,2018,89.24,37.97,70.86,88.96,15.39,99.66,51.05
Meghalaya,West Khasi Hills,2023,10.96,27.86,44.32,40.41,24.75,91.38,12.31
Karnataka,Ramanagara,2025,95.69,71.39,32.0,10.48,18.06,95.39,34.25
Uttar Pradesh,Ballia,2023,72.38,27.58,27.74,52.6,61.61,70.9,63.28
Gujarat,Kheda,2018,15.83,27.95,91.12,44.82,23.09,21.63,97.58
Tamil Nadu,Thoothukudi,2025,85.72,78.02,96.6,35.37,97.05,40.47,55.52
Gujarat,Aravalli,2017,26.73,27.15,93.35,62.48,15.98,36.85,88.17
Uttar Pradesh,Ambedkar Nagar,2020,43.97,90.62,56.94,56.71,46.36,50.91,62.38
Telangana,Jayashankar Bhupalpally,2020,34.34,39.65,58.26,56.31,26.68,50.11,69.94
Madhya Pradesh,Sheopur,2020,86.16,45.16,47.39,87.48,58.63,27.78,11.99
Tamil Nadu,Pudukkottai,2024,23.28,29.01,47.24,16.68,28.3,53.44,55.06
Maharashtra,Washim,2019,77.25,18.26,62.37,40.68,35.8,53.8,19.45
Gujarat,Surendranagar,2025,88.88,99.45,19.96,20.36,76.59,56.1,97.94
Tamil Nadu,Vellore,2015,72.55,58.45,51.12,54.64,27.26,48.53,60.42
Sikkim,Gyalshing,2023,39.47,31.98,54.64,18.62,61.63,77.47,93.75
Rajasthan,Banswara,2025,61.93,26.97,57.77,67.28,91.05,82.49,96.35
Sikkim,Gyalshing,2020,99.45,89.19,15.63,14.02,92.63,19.65,58.55
Rajasthan,Churu,2019,37.46,85.04,22.74,33.41,22.3,58.61,73.44
Jharkhand,Palamu,2017,25.33,25.0,87.97,26.43,62.35,91.92,86.88
Andhra Pradesh,East Godavari,2021,13.29,76.24,90.66,23.3,94.58,24.37,34.25
Rajasthan,Alwar,2021,78.21,45.27,40.79,40.9,65.31,16.03,54.24
Tamil Nadu,Viluppuram,2022,82.57,49.8,51.96,39.65,35.21,55.82,53.09
Odisha,Cuttack,2017,60.17,10.13,12.49,39.71,51.78,88.95,36.41
Punjab,Fazilka,2017,54.73,36.61,17.84,40.93,88.47,93.58,92.13
Chhattisgarh,Bemetara,2015,51.28,60.51,15.18,47.35,79.52,11.99,19.07
Uttar Pradesh,Rae Bareli,2022,60.54,10.34,59.75,88.51,23.86,40.79,88.29
Assam,Tinsukia,2015,49.67,16.22,40.73,74.18,90.53,92.97,27.39
Telangana,Warangal,2018,85.1,83.86,84.76,36.1,85.76,45.56,23.84
Karnataka,Kodagu,2017,14.4,24.26,23.83,31.17,78.83,36.8,37.76
Andhra Pradesh,Visakhapatnam,2016,51.13,75.77,42.62,23.31,11.96,36.84,12.35
Himachal Pradesh,Bilaspur,2021,41.2,58.55,48.12,64.63,66.8,69.01,64.61
Odisha,Malkangiri,2023,35.43,49.94,50.01,30.52,95.13,85.39,89.93
Gujarat,Gandhinagar,2016,83.92,81.77,70.84,38.5,74.96,11.11,37.64
Madhya Pradesh,Agar Malwa,2025,30.69,70.35,19.09,91.24,19.84,50.72,28.08
Nagaland,Shamator,2015,95.28,99.15,93.58,57.59,68.14,71.08,39.02
Assam,Cachar,2015,35.24,80.37,97.7,70.78,22.3,23.99,25.47
Madhya Pradesh,Khandwa,2024,91.35,94.35,82.53,39.98,58.5,64.58,46.31
Telangana,Warangal,2022,20.89,20.31,11.75,32.33,15.78,18.52,44.67
Tamil Nadu,Krishnagiri,2018,25.66,88.92,15.67,65.12,84.22,24.58,27.44
Rajasthan,Phalodi,2022,72.98,88.05,29.8,97.92,86.06,29.11,83.42
West Bengal,Purulia,2019,54.48,86.05,72.74,51.7,40.95,73.56,65.85
Odisha,Ganjam,2024,54.61,73.2,97.83,37.63,50.22,91.46,51.97
Uttar Pradesh,Maharajganj,2023,63.23,90.42,15.57,15.72,79.07,11.28,58.07
Bihar,Buxar,2024,13.66,20.58,69.75,65.15,59.59,55.92,48.17
Assam,Nalbari,2019,93.45,83.6,13.69,73.28,34.68,98.5,34.49
Punjab,Fatehgarh Sahib,2015,74.8,44.78,99.99,70.48,99.6,68.25,34.3
Chhattisgarh,Jashpur,2016,29.58,57.97,99.09,23.37,42.08,54.74,83.65
Punjab,Sri Muktsar Sahib,2021,72.98,12.86,76.78,90.23,61.2,12.81,69.93
Odisha,Jagatsinghpur,2023,47.75,29.37,27.57,24.79,58.35,88.89,76.96
Rajasthan,Rajsamand,2015,81.05,49.31,64.05,25.21,39.06,27.06,69.56
Kerala,Idukki,2020,27.16,95.37,11.23,56.87,73.95,90.99,85.8
Meghalaya,East Khasi Hills,2022,53.15,97.36,12.32,84.87,60.41,36.17,56.62
Gujarat,Porbandar,2017,58.93,69.66,42.66,51.07,32.65,29.29,14.42
Jharkhand,Gumla,2024,88.1,51.57,86.17,12.45,13.77,73.71,74.43
Arunachal Pradesh,Anjaw,2015,54.96,28.03,79.93,26.63,66.59,16.03,82.58
West Bengal,South 24 Parganas,2025,78.71,60.8,25.9,75.37,53.88,68.48,74.15
Uttarakhand,Nainital,2021,27.63,66.51,87.11,16.23,50.31,13.89,35.02
Andhra Pradesh,Bapatla,2024,68.42,71.05,25.31,66.98,27.07,76.69,97.42
Punjab,Ferozepur,2025,17.27,87.35,14.89,64.67,87.86,81.24,38.82
Tamil Nadu,Namakkal,2018,96.69,38.61,32.66,41.19,37.85,63.3,27.67
Madhya Pradesh,Jhabua,2022,71.72,87.57,40.76,38.86,58.4,76.8,28.09
Tamil Nadu,Chennai,2023,24.81,39.72,75.4,59.34,14.12,37.78,77.04
Karnataka,Bengaluru Rural,2017,96.99,10.47,53.42,87.63,33.66,22.7,28.78
Odisha,Cuttack,2024,19.77,72.43,52.16,85.54,47.43,51.37,43.57
Karnataka,Hassan,2020,53.33,29.25,94.27,53.94,98.65,29.52,62.22
Rajasthan,Karauli,2015,48.35,61.3,61.52,89.6,84.15,47.88,77.06
Bihar,Purnia,2018,21.07,80.25,29.39,39.83,89.32,66.94,33.9
Uttar Pradesh,Kushinagar,2019,90.29,26.95,99.87,70.38,83.88,17.71,10.76
Karnataka,Hassan,2019,12.91,44.08,32.46,47.34,83.42,15.59,61.04
West Bengal,Purba Bardhaman,2022,79.78,48.42,59.91,21.8,32.54,84.42,29.59
Andhra Pradesh,Anantapur,2023,54.3,26.48,67.53,28.21,57.56,98.52,63.11
Tamil Nadu,Thiruvallur,2021,54.48,94.31,72.11,26.72,20.24,39.26,90.4
Andhra Pradesh,YSR Kadapa,2022,14.41,88.75,27.03,44.92,75.48,76.07,23.38
