state,district,year,aqi,pm2_5,pm10,no2,so2,co
Andhra Pradesh,Alluri Sitharama Raju,2015,168,86.64,102.33,15.02,16.88,3.58
Andhra Pradesh,Alluri Sitharama Raju,2016,47,71.55,39.42,76.95,21.07,1.59
Andhra Pradesh,Alluri Sitharama Raju,2017,143,103.53,100.74,100.21,20.7,2.5
Andhra Pradesh,Alluri Sitharama Raju,2018,335,152.84,78.92,114.02,15.58,3.85
Andhra Pradesh,Alluri Sitharama Raju,2019,256,74.0,175.87,55.93,70.23,1.76
Andhra Pradesh,Alluri Sitharama Raju,2020,147,153.25,102.05,73.99,64.75,4.2
Andhra Pradesh,Alluri Sitharama Raju,2021,323,95.52,263.33,115.37,49.57,2.44
Andhra Pradesh,Alluri Sitharama Raju,2022,296,70.44,36.83,40.21,51.71,4.13
Andhra Pradesh,Alluri Sitharama Raju,2023,126,59.62,223.39,86.83,66.54,0.61
Andhra Pradesh,Alluri Sitharama Raju,2024,197,45.78,275.79,22.75,44.66,0.77
Andhra Pradesh,Alluri Sitharama Raju,2025,98,63.35,205.57,118.43,66.96,4.08
Andhra Pradesh,Anakapalli,2015,152,191.85,25.38,107.83,3.08,0.37
Andhra Pradesh,Anakapalli,2016,130,130.23,110.66,51.73,28.66,4.82
Andhra Pradesh,Anakapalli,2017,161,132.61,267.35,113.41,10.09,2.42
Andhra Pradesh,Anakapalli,2018,222,31.13,65.82,55.67,10.54,4.53
Andhra Pradesh,Anakapalli,2019,207,35.08,31.89,19.27,24.86,1.2
Andhra Pradesh,Anakapalli,2020,324,95.58,75.15,77.12,56.38,2.56
Andhra Pradesh,Anakapalli,2021,187,62.66,211.6,109.3,42.67,3.03
Andhra Pradesh,Anakapalli,2022,43,90.48,54.34,24.35,51.93,0.58
Andhra Pradesh,Anakapalli,2023,263,159.75,118.04,23.95,56.24,1.72
Andhra Pradesh,Anakapalli,2024,317,129.34,21.37,95.84,7.71,4.99
Andhra Pradesh,Anakapalli,2025,261,43.13,232.13,43.36,53.45,3.66
Andhra Pradesh,Anantapur,2015,284,54.89,227.8,62.32,26.43,1.81
