state,district,year,population,male_population,female_population,population_growth_rate,urban_population,rural_population
Andhra Pradesh,Alluri Sitharama Raju,2015,2944800,765712,883582,3.4,1955640,343445
Andhra Pradesh,Alluri Sitharama Raju,2016,1670213,1366518,1738914,2.98,459358,237489
Andhra Pradesh,Alluri Sitharama Raju,2017,3722893,2087085,208035,2.29,525398,830926
Andhra Pradesh,Alluri Sitharama Raju,2018,3612497,142972,572766,3.28,390574,288228
Andhra Pradesh,Alluri Sitharama Raju,2019,2681093,2469541,297493,3.07,392072,1499033
Andhra Pradesh,Alluri Sitharama Raju,2020,4424804,594844,1946560,3.1,1436792,1565225
Andhra Pradesh,Alluri Sitharama Raju,2021,2344160,43691,925548,3.15,73793,40687
Andhra Pradesh,Alluri Sitharama Raju,2022,4508090,2071359,1350433,1.63,1141507,1578927
Andhra Pradesh,Alluri Sitharama Raju,2023,2795444,81504,2131105,3.15,617433,399456
Andhra Pradesh,Alluri Sitharama Raju,2024,1369908,2021419,2058487,2.93,330443,2390908
Andhra Pradesh,Alluri Sitharama Raju,2025,4719993,1393547,1593972,2.33,1323544,1941861
Andhra Pradesh,Anakapalli,2015,1201907,2284146,70088,2.99,10621,428796
Andhra Pradesh,Anakapalli,2016,3436492,1435350,1381723,0.56,627517,1724614
Andhra Pradesh,Anakapalli,2017,2649010,330030,1845845,1.21,534672,1578940
Andhra Pradesh,Anakapalli,2018,4281763,1253791,1315174,1.4,1866369,422728
Andhra Pradesh,Anakapalli,2019,4186644,423916,1627107,0.5,492267,2087016
Andhra Pradesh,Anakapalli,2020,2689110,1464033,1605861,2.49,719535,1711760
Andhra Pradesh,Anakapalli,2021,1997563,558487,1858415,2.37,1201867,2019353
Andhra Pradesh,Anakapalli,2022,2838941,1915040,1678490,1.21,1268555,2176409
Andhra Pradesh,Anakapalli,2023,4270091,1416574,360472,3.36,505280,873748
Andhra Pradesh,Anakapalli,2024,4989794,486448,436129,1.42,1528985,716923
Andhra Pradesh,Anakapalli,2025,867475,1061421,1256461,1.41,362799,2200219
Andhra Pradesh,Anantapur,2015,2961306,810795,2263862,2.37,1318074,2901073
Andhra Pradesh,Anantapur,2016,2195927,1616410,2188218,1.12,47205,810967
Andhra Pradesh,Anantapur,2017,2428389,135122,1151795,1.48,1310489,1255193
Andhra Pradesh,Anantapur,2018,238824,2383630,593595,1.06,1981430,691605
Andhra Pradesh,Anantapur,2019,2565498,1466503,346762,2.06,174654,647286
Andhra Pradesh,Anantapur,2020,4726830,459921,271962,0.91,1127161,1460260
Andhra Pradesh,Anantapur,2021,3722054,296652,1805931,2.96,847649,306749
Andhra Pradesh,Anantapur,2022,4125234,180366,1459455,2.36,396947,1322863
Andhra Pradesh,Anantapur,2023,1517119,566252,1328667,2.29,231299,293587
Andhra Pradesh,Anantapur,2024,4921756,1362168,1014173,2.54,279998,2879665
Andhra Pradesh,Anantapur,2025,4868869,1877897,895186,0.94,277490,1649537
Andhra Pradesh,Annamayya,2015,4096488,2130357,1491799,1.72,163864,924559
Andhra Pradesh,Annamayya,2016,4041137,2193762,955250,0.72,1678570,847487
Andhra Pradesh,Annamayya,2017,2122567,1909366,1518600,2.0,880278,2583859
Andhra Pradesh,Annamayya,2018,4698435,160351,917105,1.58,346237,583881
Andhra Pradesh,Annamayya,2019,909319,960493,1623268,2.69,1292348,1947828
Andhra Pradesh,Annamayya,2020,590994,1487991,1576963,3.34,177560,1900702
Andhra Pradesh,Annamayya,2021,4276392,2357454,1787274,2.22,1628237,1201658
Andhra Pradesh,Annamayya,2022,3374637,1882629,599375,3.48,31476,1430987
Andhra Pradesh,Annamayya,2023,2393015,1625763,856667,2.39,1836791,2093602
Andhra Pradesh,Annamayya,2024,1244528,1425729,606719,1.67,195055,1069533
Andhra Pradesh,Annamayya,2025,84603,1497935,1269202,1.22,393342,427432
Andhra Pradesh,Bapatla,2015,1944712,2419014,545278,1.92,1770754,2893103
Andhra Pradesh,Bapatla,2016,2107841,2361278,1897464,2.64,927389,2517260
Andhra Pradesh,Bapatla,2017,3397863,577307,2278696,2.99,946933,2485710
Andhra Pradesh,Bapatla,2018,2769299,686864,551671,1.32,1254256,1458270
Andhra Pradesh,Bapatla,2019,3880819,654667,1289911,0.74,1222581,1344113
Andhra Pradesh,Bapatla,2020,3853780,925994,1400790,2.81,861467,864580
Andhra Pradesh,Bapatla,2021,342935,1365184,96171,0.99,605343,2751958
Andhra Pradesh,Bapatla,2022,2447807,2317550,174810,1.42,1289229,1395244
Andhra Pradesh,Bapatla,2023,1669434,2306307,1126765,1.06,633554,2764699
Andhra Pradesh,Bapatla,2024,3160157,261925,925053,1.73,798386,2845739
Andhra Pradesh,Bapatla,2025,204036,2183554,163091,2.06,378086,1071511
Andhra Pradesh,Chittoor,2015,4997247,285743,1663578,3.15,147973,2890682
Andhra Pradesh,Chittoor,2016,3452579,688866,167711,1.71,774803,858717
Andhra Pradesh,Chittoor,2017,2535714,2213715,87239,3.42,278872,2671238
Andhra Pradesh,Chittoor,2018,2129784,1417888,2121221,0.72,856916,202047
Andhra Pradesh,Chittoor,2019,2532198,456680,1289796,1.36,615982,1511060
Andhra Pradesh,Chittoor,2020,1630931,1505675,1625620,1.17,516341,2495891
Andhra Pradesh,Chittoor,2021,4092497,282041,1909391,1.92,1186469,2139883
Andhra Pradesh,Chittoor,2022,1214611,1834101,792830,2.92,946156,1765991
Andhra Pradesh,Chittoor,2023,4536673,354078,1699562,1.56,1155950,205745
