state,district,year,poverty_rate,below_poverty_line,unemployment_rate,income_per_capita,social_welfare_spending,food_insecurity,homelessness
Maharashtra,Nanded,2020,66.37,27.65,87.38,13.18,51.48,91.94,29.33
West Bengal,Purulia,2022,88.12,16.86,33.5,40.53,31.01,96.55,11.24
Gujarat,Panchmahal,2022,34.33,90.76,63.59,97.42,82.86,35.8,46.89
Meghalaya,West Khasi Hills,2022,99.45,35.81,11.48,23.98,69.02,18.82,22.01
Uttar Pradesh,Hathras,2025,35.09,68.66,33.04,17.26,74.97,18.42,17.86
Madhya Pradesh,Maihar,2025,35.9,52.65,27.61,41.82,38.54,74.94,23.91
Uttar Pradesh,Bijnor,2017,41.13,27.82,83.7,50.1,97.03,51.22,85.15
Assam,Bongaigaon,2018,10.5,21.57,63.25,46.02,43.78,89.98,32.2
Assam,Goalpara,2025,95.97,64.44,53.79,11.95,89.07,78.09,33.89
Bihar,Bhojpur,2016,10.1,43.15,37.21,53.43,74.2,15.21,99.95
Madhya Pradesh,Damoh,2018,42.74,84.4,36.39,68.58,42.01,21.76,41.65
Gujarat,Kheda,2019,21.52,11.87,19.5,13.5,38.22,42.07,53.93
Bihar,Patna,2016,19.09,18.75,92.32,81.34,77.32,92.85,28.15
Uttar Pradesh,Hathras,2015,75.66,82.68,37.77,14.61,42.53,55.33,11.73
Bihar,Siwan,2017,45.71,84.68,55.68,50.62,96.31,23.76,54.83
Rajasthan,Bikaner,2024,62.41,91.74,38.64,70.85,34.88,83.18,95.9
Bihar,West Champaran,2023,74.36,21.38,69.26,42.02,52.88,23.35,45.22
Odisha,Nuapada,2022,27.17,22.74,28.1,30.06,72.14,28.52,96.51
Chhattisgarh,Janjgir-Champa,2021,80.85,58.5,15.1,19.55,70.23,98.71,73.87
Andhra Pradesh,Chittoor,2016,89.1,25.16,98.23,52.91,53.35,84.24,94.74
Tripura,Unakoti,2022,91.04,57.43,57.09,16.06,66.59,90.23,43.26
Haryana,Panipat,2018,50.73,86.99,99.8,17.18,54.13,96.66,51.01
Madhya Pradesh,Seoni,2015,28.62,85.32,26.31,57.56,61.08,21.12,97.3
Uttar Pradesh,Gautam Buddha Nagar,2015,48.08,78.2,34.26,25.22,72.97,50.72,80.95
Chhattisgarh,Dhamtari,2022,57.47,72.3,30.77,90.63,74.51,63.49,85.56
Arunachal Pradesh,Lower Dibang Valley,2022,24.22,27.52,40.36,88.1,16.54,54.6,33.04
Odisha,Khordha,2015,96.12,58.33,24.73,82.67,44.66,39.11,39.98
Haryana,Kurukshetra,2025,41.78,11.99,92.27,32.09,23.5,63.11,13.28
Bihar,Begusarai,2020,54.25,24.41,21.0,36.24,88.14,57.76,84.59
Haryana,Kurukshetra,2018,60.93,11.11,57.37,94.54,51.5,11.26,37.58
Madhya Pradesh,Dhar,2021,36.11,68.41,24.62,28.72,75.07,58.1,70.49
Maharashtra,Ratnagiri,2020,26.44,10.88,85.35,90.86,44.16,61.97,68.51
Arunachal Pradesh,Namsai,2019,27.34,21.09,16.39,96.72,94.56,59.99,85.04
Punjab,Hoshiarpur,2021,59.35,16.5,12.31,67.43,35.29,14.85,45.24
Andhra Pradesh,Eluru,2019,14.72,48.02,81.27,35.26,37.77,60.21,96.37
West Bengal,Jhargram,2016,39.13,48.81,43.8,31.41,88.58,75.23,91.53
Madhya Pradesh,Panna,2018,26.1,62.34,41.81,16.39,87.74,68.74,98.16
Himachal Pradesh,Kullu,2022,69.64,77.11,77.02,38.92,41.94,28.31,96.06
Odisha,Sambalpur,2022,69.78,18.35,71.77,41.02,24.57,65.51,40.89
Punjab,Fazilka,2017,51.65,62.44,10.79,79.36,23.23,17.28,11.0
Madhya Pradesh,Panna,2019,88.52,41.31,30.68,42.07,77.03,77.56,68.0
Tamil Nadu,Theni,2017,91.57,82.4,51.5,67.89,44.02,19.18,53.75
Chhattisgarh,Dantewada,2015,95.14,80.71,11.3,57.83,28.93,38.49,99.35
Chhattisgarh,Gariaband,2016,84.32,42.38,18.09,56.32,82.45,93.8,99.69
Rajasthan,Deeg,2024,42.68,71.52,92.04,22.22,27.24,71.49,91.65
Madhya Pradesh,Shahdol,2015,68.1,27.6,78.85,70.1,13.47,46.87,69.05
West Bengal,Nadia,2024,57.31,17.27,69.14,78.44,26.68,66.22,21.63
Andhra Pradesh,Kurnool,2021,45.76,48.77,31.45,92.14,27.74,67.69,35.66
Madhya Pradesh,Maihar,2015,81.03,10.18,47.77,81.47,26.84,30.28,46.2
Punjab,Amritsar,2025,90.09,41.8,15.06,47.61,13.59,14.23,37.28
Manipur,Kangpokpi,2022,97.72,89.52,42.1,86.74,74.08,22.06,14.87
Uttar Pradesh,Sultanpur,2018,98.75,10.17,22.07,20.83,64.52,16.21,13.98
Uttar Pradesh,Kushinagar,2025,42.46,25.91,65.79,60.63,24.8,34.24,16.92
Odisha,Puri,2019,45.74,64.77,86.62,42.54,76.5,70.51,31.46
Gujarat,Botad,2019,63.26,97.1,54.68,28.03,10.67,63.19,52.85
Odisha,Nayagarh,2020,75.33,51.96,39.99,19.37,41.2,78.02,54.28
Haryana,Rewari,2023,93.4,30.2,98.64,84.31,68.33,13.32,24.81
Arunachal Pradesh,Dibang Valley,2022,35.1,87.02,81.22,67.19,79.17,65.44,21.02
Arunachal Pradesh,Anjaw,2020,30.64,62.45,79.49,39.39,64.07,10.44,54.81
Odisha,Jharsuguda,2022,26.95,36.66,72.94,58.11,25.17,66.48,63.64
Arunachal Pradesh,Leparada,2019,82.09,88.75,72.94,10.13,10.15,96.18,34.22
Maharashtra,Hingoli,2020,13.49,21.91,18.51,74.31,59.77,58.26,71.81
Chhattisgarh,Raipur,2021,44.09,91.18,31.42,70.42,28.44,87.24,85.4
Assam,Bongaigaon,2018,10.05,92.79,72.64,16.18,80.87,80.05,34.68
Maharashtra,Beed,2018,17.89,53.64,22.29,82.77,37.84,57.49,29.58
Haryana,Sirsa,2022,69.11,66.46,19.43,43.21,73.27,15.7,90.28
Maharashtra,Jalna,2024,74.49,17.31,90.43,50.58,25.5,48.01,89.85
Karnataka,Koppal,2025,96.47,96.32,26.61,22.57,82.69,52.81,51.61
Karnataka,Bidar,2019,85.28,42.02,35.91,83.17,76.74,55.08,75.14
Bihar,Buxar,2015,95.99,23.27,36.25,75.13,80.59,62.66,86.73
Tamil Nadu,Tenkasi,2019,75.87,77.08,61.67,45.35,31.94,82.26,42.34
Nagaland,Noklak,2025,92.77,22.7,44.28,21.2,85.06,32.84,72.7
Chhattisgarh,Bastar,2016,51.96,37.61,42.24,74.01,99.87,82.45,87.32
Assam,Chirang,2019,34.37,14.2,53.47,67.11,48.27,86.76,22.39
Chhattisgarh,Bemetara,2015,71.28,91.91,86.32,49.9,41.34,34.07,35.54
Andhra Pradesh,Bapatla,2019,99.87,82.09,53.4,13.5,92.85,96.96,49.25
Madhya Pradesh,Dewas,2017,18.49,94.99,10.25,87.51,37.03,25.4,79.16
Madhya Pradesh,Guna,2021,58.96,89.16,42.35,11.14,47.0,96.4,34.13
Karnataka,Bidar,2024,68.18,14.35,24.46,95.05,35.4,74.16,99.25
Bihar,Siwan,2021,47.67,46.21,26.81,91.32,88.17,32.99,16.9
Nagaland,Tseminyu,2023,83.39,66.63,99.43,39.68,83.8,74.73,76.36
Jharkhand,Koderma,2016,91.35,28.58,36.95,86.99,90.74,45.51,76.4
Tamil Nadu,Chennai,2019,78.93,39.29,53.53,56.55,77.05,50.22,82.46
Kerala,Malappuram,2015,60.93,35.6,37.49,15.67,13.15,97.99,11.8
Uttar Pradesh,Jalaun,2024,14.33,34.91,96.64,60.14,39.81,64.0,74.99
Uttar Pradesh,Rampur,2016,15.95,93.53,25.59,62.24,25.81,80.64,82.72
Gujarat,Gandhinagar,2016,55.73,58.15,82.44,96.84,63.23,78.51,17.93
Manipur,Chandel,2021,91.66,11.28,43.63,40.19,98.91,64.61,17.22
Rajasthan,Nagaur,2023,35.1,26.36,98.22,44.08,73.36,42.15,84.85
Chhattisgarh,Gariaband,2017,80.36,45.87,76.09,77.8,95.83,36.24,97.26
Madhya Pradesh,Chhatarpur,2018,13.69,60.73,79.58,75.68,63.8,92.76,55.79
Uttar Pradesh,Gorakhpur,2016,52.84,66.82,68.31,47.61,94.6,37.21,83.97
Gujarat,Porbandar,2023,10.13,73.76,19.3,79.23,40.96,85.71,55.91
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2016,71.11,94.46,74.48,22.13,49.53,15.62,13.45
Chhattisgarh,Sakti,2020,63.37,90.1,64.13,87.78,28.88,37.9,14.59
Tamil Nadu,Tenkasi,2018,43.76,46.6,30.92,63.54,53.69,24.57,43.23
Andhra Pradesh,YSR Kadapa,2023,73.47,82.59,84.81,36.06,49.91,40.15,94.8
Gujarat,Patan,2022,90.88,18.22,15.03,21.99,56.95,11.25,10.41
Tamil Nadu,Dindigul,2015,86.13,24.19,93.31,16.88,13.75,43.1,78.97
Rajasthan,Sawai Madhopur,2021,11.45,78.31,35.09,91.78,42.89,46.23,85.9
Punjab,Hoshiarpur,2025,77.44,25.34,34.3,68.29,64.29,10.66,74.51
Rajasthan,Kekri,2015,99.11,35.22,24.27,44.03,51.96,56.93,89.56
Bihar,Nawada,2020,62.52,85.54,98.26,57.09,44.91,37.83,56.2
Tamil Nadu,Ariyalur,2022,71.8,29.28,28.68,85.75,70.83,61.15,85.8
Maharashtra,Akola,2025,76.69,41.39,89.35,69.74,77.78,74.85,40.82
Uttar Pradesh,Kannauj,2018,20.46,67.44,90.52,99.0,46.07,96.68,44.76
Gujarat,Botad,2023,62.05,43.79,52.49,96.42,76.58,84.28,77.21
Arunachal Pradesh,West Kameng,2025,32.71,24.48,59.35,44.98,55.28,61.86,46.34
Arunachal Pradesh,East Kameng,2024,44.63,39.5,84.68,74.95,20.31,53.85,25.11
Bihar,Rohtas,2017,83.96,43.01,81.76,18.96,79.87,54.17,99.75
Telangana,Mulugu,2020,28.4,64.33,89.39,25.6,41.73,85.4,11.57
Meghalaya,West Jaintia Hills,2015,67.9,64.1,15.08,85.62,31.67,62.67,71.55
Tripura,North Tripura,2019,36.75,71.79,73.49,89.89,21.65,63.72,75.16
Gujarat,Vadodara,2018,51.06,53.35,98.17,13.71,57.75,59.35,47.92
Rajasthan,Pali,2020,99.09,67.23,21.67,41.53,75.61,45.39,72.79
Maharashtra,Gadchiroli,2020,95.2,98.33,79.61,49.23,38.89,80.94,14.92
Himachal Pradesh,Mandi,2016,38.38,36.47,53.81,99.32,37.98,60.52,49.9
