state,district,year,rural_roads,village_development_index,employment_scheme,agriculture_support,rural_income,water_access,education_access
West Bengal,Jhargram,2015,31.36,70.11,58.06,88.29,74.7,25.81,61.35
Maharashtra,Gondia,2021,66.21,17.03,16.37,86.32,49.92,33.62,57.86
Arunachal Pradesh,Lower Subansiri,2015,74.28,99.68,10.62,54.35,80.1,71.49,39.65
Andhra Pradesh,Guntur,2016,59.66,77.35,94.33,97.97,91.28,14.82,46.2
Nagaland,Tuensang,2021,51.02,95.75,25.67,96.1,39.25,26.8,19.4
Uttar Pradesh,Balrampur,2020,44.0,66.31,75.39,97.45,35.89,40.02,43.13
Haryana,Kaithal,2017,95.07,46.37,55.87,43.66,24.5,17.64,74.43
Maharashtra,Satara,2019,78.87,19.89,47.27,98.59,77.46,31.09,90.94
Andhra Pradesh,Parvathipuram Manyam,2025,18.54,58.08,56.31,83.42,65.91,56.76,76.79
Uttar Pradesh,Sant Kabir Nagar,2015,29.26,30.64,24.26,79.81,38.01,63.68,18.85
Assam,Hojai,2023,88.17,84.28,34.64,40.49,55.75,36.7,30.4
Gujarat,Botad,2017,10.35,73.1,14.87,79.87,54.76,90.94,59.73
Odisha,Cuttack,2018,16.33,77.5,49.5,78.91,39.86,53.1,30.58
Bihar,Araria,2021,85.25,78.44,41.91,72.38,54.36,35.54,60.33
Rajasthan,Jaipur,2017,10.32,96.63,48.4,47.66,38.01,83.97,10.04
Uttar Pradesh,Jaunpur,2015,39.7,70.48,52.85,18.19,17.21,70.18,15.95
Bihar,Madhepura,2023,33.06,13.95,29.69,97.93,77.13,65.59,28.43
Jharkhand,East Singhbhum,2024,40.59,24.74,70.3,51.07,37.71,96.72,63.86
Manipur,Bishnupur,2020,74.32,13.43,35.48,16.27,13.62,91.7,70.06
Sikkim,Mangan,2015,49.25,34.55,20.82,98.18,52.16,42.55,64.5
Uttarakhand,Chamoli,2021,24.59,25.04,39.56,87.23,28.27,81.98,84.59
Tamil Nadu,Tenkasi,2016,12.85,82.81,67.9,16.85,89.77,55.69,54.48
Assam,Charaideo,2018,46.55,11.39,85.55,71.37,59.01,31.97,50.0
West Bengal,Howrah,2022,67.29,86.97,81.96,84.85,30.31,61.63,68.16
Uttar Pradesh,Hardoi,2021,56.1,56.22,45.47,35.56,13.84,70.5,43.78
Arunachal Pradesh,Kurung Kumey,2019,32.53,83.45,69.12,43.86,85.09,82.99,72.39
Karnataka,Haveri,2022,67.02,58.79,83.31,99.4,67.63,60.11,87.41
Chhattisgarh,Gaurela-Pendra-Marwahi,2024,31.95,96.92,57.31,23.47,54.49,91.67,63.95
Chhattisgarh,Durg,2018,22.08,63.38,58.06,61.18,60.44,66.21,28.58
Uttar Pradesh,Fatehpur,2021,65.59,99.62,94.7,41.99,67.35,46.16,69.93
Punjab,Jalandhar,2023,97.79,76.44,66.2,20.69,53.8,47.24,93.83
Andhra Pradesh,East Godavari,2019,18.53,77.61,50.09,34.52,23.6,67.31,76.09
Punjab,Sri Muktsar Sahib,2024,19.23,10.85,53.1,79.16,61.49,45.15,60.56
Uttar Pradesh,Jalaun,2019,49.05,49.6,55.63,44.21,26.97,94.07,26.73
Maharashtra,Buldhana,2015,17.12,48.71,15.21,75.25,88.06,30.73,59.2
