state,district,year,smart_projects,cctv_cameras,public_wifi_hotspots,ev_charging_stations,smart_traffic_signals
Andhra Pradesh,Alluri Sitharama Raju,2015,64,16653,429,1058,1382
Andhra Pradesh,Alluri Sitharama Raju,2016,62,11265,1781,216,302
Andhra Pradesh,Alluri Sitharama Raju,2017,25,19638,4144,349,1818
Andhra Pradesh,Alluri Sitharama Raju,2018,83,5370,2633,183,13
Andhra Pradesh,Alluri Sitharama Raju,2019,66,5145,2692,1734,1156
Andhra Pradesh,Alluri Sitharama Raju,2020,32,3145,3509,1357,1716
Andhra Pradesh,Alluri Sitharama Raju,2021,35,9219,3058,1602,1969
Andhra Pradesh,Alluri Sitharama Raju,2022,40,15737,4248,165,1089
Andhra Pradesh,Alluri Sitharama Raju,2023,9,17324,4723,1267,624
Andhra Pradesh,Alluri Sitharama Raju,2024,51,15977,3386,364,1485
Andhra Pradesh,Alluri Sitharama Raju,2025,33,4440,4843,1736,1982
Andhra Pradesh,Anakapalli,2015,60,14653,2458,1335,60
Andhra Pradesh,Anakapalli,2016,94,3036,2726,1834,1283
Andhra Pradesh,Anakapalli,2017,46,16474,1885,1803,1130
Andhra Pradesh,Anakapalli,2018,22,2089,1019,1378,539
Andhra Pradesh,Anakapalli,2019,32,1361,2274,1454,818
Andhra Pradesh,Anakapalli,2020,97,17773,1763,1297,1575
Andhra Pradesh,Anakapalli,2021,28,1128,3593,1968,770
Andhra Pradesh,Anakapalli,2022,8,7840,1785,806,166
Andhra Pradesh,Anakapalli,2023,15,14974,1760,1089,1936
Andhra Pradesh,Anakapalli,2024,2,11274,3161,1687,240
Andhra Pradesh,Anakapalli,2025,99,1053,4866,58,1962
Andhra Pradesh,Anantapur,2015,29,10609,2886,1309,1991
Andhra Pradesh,Anantapur,2016,80,9442,4332,574,1696
Andhra Pradesh,Anantapur,2017,89,9672,3430,1242,1568
Andhra Pradesh,Anantapur,2018,8,7980,4877,555,907
Andhra Pradesh,Anantapur,2019,29,4848,1226,1018,352
Andhra Pradesh,Anantapur,2020,49,12296,2084,620,1070
Andhra Pradesh,Anantapur,2021,24,12694,2233,888,409
Andhra Pradesh,Anantapur,2022,85,7146,850,1078,1001
Andhra Pradesh,Anantapur,2023,9,4402,1981,365,717
Andhra Pradesh,Anantapur,2024,27,2331,3925,1522,507
Andhra Pradesh,Anantapur,2025,73,15891,2619,823,1243
Andhra Pradesh,Annamayya,2015,55,4452,3562,744,1335
Andhra Pradesh,Annamayya,2016,29,5184,1097,731,1278
Andhra Pradesh,Annamayya,2017,31,2740,1031,1448,50
Andhra Pradesh,Annamayya,2018,43,4573,2752,1434,1772
Andhra Pradesh,Annamayya,2019,96,11859,908,102,1514
Andhra Pradesh,Annamayya,2020,26,6973,3764,1291,1280
Andhra Pradesh,Annamayya,2021,77,11533,1783,642,562
Andhra Pradesh,Annamayya,2022,17,13304,2153,578,649
Andhra Pradesh,Annamayya,2023,29,16249,3628,243,535
Andhra Pradesh,Annamayya,2024,42,8702,458,572,650
Andhra Pradesh,Annamayya,2025,34,16913,2316,1394,712
Andhra Pradesh,Bapatla,2015,51,5962,3073,1248,1022
Andhra Pradesh,Bapatla,2016,58,8635,1821,1004,1062
Andhra Pradesh,Bapatla,2017,88,3857,1478,1125,730
Andhra Pradesh,Bapatla,2018,67,5339,3826,1305,549
Andhra Pradesh,Bapatla,2019,12,18936,2516,1424,871
