state,district,year,athletes,sports_events,stadiums,sports_funding,medals_won,youth_participation,fitness_centers
Jharkhand,Garhwa,2016,93.97,84.72,34.45,50.45,42.29,57.08,24.05
Haryana,Jind,2019,39.14,75.88,58.35,49.24,75.6,20.72,98.89
Odisha,Bhadrak,2023,40.77,93.51,92.69,32.36,47.51,20.11,44.69
Punjab,Mansa,2024,54.63,14.54,19.81,28.64,23.91,54.57,32.1
Tamil Nadu,Virudhunagar,2015,97.72,93.05,40.86,30.34,32.36,45.29,31.53
Tamil Nadu,Ramanathapuram,2017,47.08,52.78,14.17,62.19,57.76,83.58,38.68
Uttar Pradesh,Varanasi,2024,64.76,92.94,81.17,17.39,83.57,45.88,16.73
Meghalaya,East Jaintia Hills,2024,24.88,31.63,18.8,80.77,65.51,22.18,37.37
Jharkhand,Sahebganj,2020,27.85,44.62,49.51,57.43,12.43,82.81,88.17
Mizoram,Mamit,2023,84.06,84.33,52.53,86.77,94.66,82.14,25.82
Jharkhand,Simdega,2023,28.04,27.26,58.91,40.11,50.92,33.42,23.94
Kerala,Kannur,2022,42.12,69.36,11.89,79.99,57.52,38.51,23.38
Chhattisgarh,Narayanpur,2020,36.29,70.16,98.27,81.49,59.1,60.15,73.03
Madhya Pradesh,Niwari,2015,30.4,13.01,55.64,73.58,66.53,43.74,89.42
Madhya Pradesh,Chhindwara,2015,72.93,16.38,58.0,49.39,78.84,28.65,59.6
West Bengal,Bankura,2021,45.37,19.17,41.41,41.68,25.88,78.22,37.41
Rajasthan,Dungarpur,2018,15.66,30.87,59.0,95.54,72.78,81.61,81.42
Maharashtra,Chandrapur,2015,90.72,48.85,88.23,84.66,57.06,93.64,17.33
Punjab,Fatehgarh Sahib,2018,97.59,67.65,39.27,95.89,65.63,45.87,89.16
Chhattisgarh,Jashpur,2020,45.09,14.15,76.54,52.7,28.76,52.28,77.23
Chhattisgarh,Mahasamund,2015,77.66,95.46,71.09,36.95,78.68,25.39,22.09
Rajasthan,Shahpura,2019,57.92,22.65,98.87,18.63,99.16,70.39,70.11
Uttar Pradesh,Sant Kabir Nagar,2016,36.46,37.87,59.63,97.47,57.78,27.13,97.78
West Bengal,Bankura,2020,19.78,37.53,92.38,31.59,32.0,12.16,32.73
Uttar Pradesh,Ghazipur,2021,93.02,12.31,52.77,39.02,14.76,60.57,73.04
Uttar Pradesh,Sant Kabir Nagar,2023,85.1,46.25,59.34,38.69,83.5,89.39,78.96
Rajasthan,Udaipur,2017,55.77,50.94,58.91,95.13,74.14,94.43,57.96
Manipur,Chandel,2024,85.8,31.09,15.21,20.54,16.95,50.1,45.16
Chhattisgarh,Sarangarh-Bilaigarh,2022,99.37,89.89,95.54,89.26,27.64,43.58,21.47
Uttar Pradesh,Mau,2015,80.81,41.45,84.5,74.73,29.98,64.83,94.58
Maharashtra,Osmanabad (Dharashiv),2023,76.51,91.89,31.69,81.98,89.54,34.62,64.05
Assam,Sonitpur,2025,26.8,79.19,79.61,24.8,80.91,11.85,59.6
Odisha,Balangir,2025,71.35,53.31,91.21,54.62,50.91,26.05,64.11
Manipur,Kangpokpi,2022,23.77,52.3,49.78,28.17,61.91,26.6,38.82
Andhra Pradesh,Srikakulam,2020,39.46,53.73,60.49,20.8,62.81,68.2,90.18
Himachal Pradesh,Mandi,2024,19.23,17.72,98.54,85.68,75.48,23.31,96.5
Maharashtra,Nashik,2015,96.07,12.3,83.35,31.4,51.91,63.85,50.83
Maharashtra,Latur,2017,32.49,20.63,93.05,15.53,54.04,63.06,24.97
Uttar Pradesh,Fatehpur,2015,68.27,57.08,55.75,89.66,60.02,34.84,54.68
Uttar Pradesh,Kanpur Nagar,2024,78.37,83.03,37.39,95.83,26.33,17.85,32.4
Karnataka,Chitradurga,2018,56.92,14.16,98.68,75.49,26.4,96.82,31.56
Madhya Pradesh,Sehore,2025,91.77,50.05,78.62,75.33,85.04,95.11,22.8
Arunachal Pradesh,Lepa Rada,2025,67.11,23.8,90.64,96.53,48.53,84.36,79.12
Bihar,Bhojpur,2025,17.28,46.39,44.92,81.14,41.48,34.51,40.19
Uttar Pradesh,Shahjahanpur,2017,96.3,89.34,52.4,38.49,99.84,12.97,77.84
