state,district,year,it_companies,tech_startups,internet_users,mobile_users,data_centers
Andhra Pradesh,Alluri Sitharama Raju,2015,277,336,1824194,30542,10
Andhra Pradesh,Alluri Sitharama Raju,2016,274,120,742474,2859878,4
Andhra Pradesh,Alluri Sitharama Raju,2017,272,206,372117,415414,10
Andhra Pradesh,Alluri Sitharama Raju,2018,398,660,1493156,2838242,9
Andhra Pradesh,Alluri Sitharama Raju,2019,1644,948,1128945,123454,17
Andhra Pradesh,Alluri Sitharama Raju,2020,134,83,1201533,1615834,7
Andhra Pradesh,Alluri Sitharama Raju,2021,808,325,805073,1251669,13
Andhra Pradesh,Alluri Sitharama Raju,2022,1434,931,1165380,1698449,6
Andhra Pradesh,Alluri Sitharama Raju,2023,1108,338,918170,1918465,17
Andhra Pradesh,Alluri Sitharama Raju,2024,1684,720,251860,1726557,9
Andhra Pradesh,Alluri Sitharama Raju,2025,1616,134,1009802,2728224,5
Andhra Pradesh,Anakapalli,2015,89,284,327935,2914810,1
Andhra Pradesh,Anakapalli,2016,1566,136,764049,2685305,10
Andhra Pradesh,Anakapalli,2017,862,406,568138,938948,9
Andhra Pradesh,Anakapalli,2018,376,877,648989,1849672,16
Andhra Pradesh,Anakapalli,2019,657,435,383471,1787581,5
Andhra Pradesh,Anakapalli,2020,1367,172,526060,982751,17
Andhra Pradesh,Anakapalli,2021,1000,247,1079182,610206,20
Andhra Pradesh,Anakapalli,2022,1489,971,549938,1465391,10
Andhra Pradesh,Anakapalli,2023,1556,61,1680882,2363082,2
Andhra Pradesh,Anakapalli,2024,1184,918,1611071,1259187,7
Andhra Pradesh,Anakapalli,2025,1731,28,1039167,726174,13
Andhra Pradesh,Anantapur,2015,1100,353,1407184,2668804,1
Andhra Pradesh,Anantapur,2016,832,901,326795,2262274,12
Andhra Pradesh,Anantapur,2017,1731,128,927677,1605837,10
Andhra Pradesh,Anantapur,2018,200,947,1827559,185111,13
Andhra Pradesh,Anantapur,2019,437,846,598873,502243,18
Andhra Pradesh,Anantapur,2020,1055,223,747760,2697272,9
Andhra Pradesh,Anantapur,2021,870,766,1580670,2805730,20
Andhra Pradesh,Anantapur,2022,442,51,1612154,267781,0
Andhra Pradesh,Anantapur,2023,399,618,397941,536287,10
Andhra Pradesh,Anantapur,2024,523,289,213074,2601927,3
Andhra Pradesh,Anantapur,2025,1287,15,1058995,1018476,3
Andhra Pradesh,Annamayya,2015,170,647,1482910,734974,2
Andhra Pradesh,Annamayya,2016,699,103,1601049,773340,12
Andhra Pradesh,Annamayya,2017,598,236,351146,1649235,4
Andhra Pradesh,Annamayya,2018,1508,811,932873,2067895,6
Andhra Pradesh,Annamayya,2019,1437,943,1975466,1554643,3
Andhra Pradesh,Annamayya,2020,1147,145,24867,1866066,0
Andhra Pradesh,Annamayya,2021,293,971,10796,2985082,6
Andhra Pradesh,Annamayya,2022,43,359,1158031,876573,8
Andhra Pradesh,Annamayya,2023,853,790,750314,2846911,20
Andhra Pradesh,Annamayya,2024,74,129,1106947,2456990,3
Andhra Pradesh,Annamayya,2025,831,591,939758,987288,13
Andhra Pradesh,Bapatla,2015,1180,837,739511,509935,20
Andhra Pradesh,Bapatla,2016,240,76,47878,228868,16
Andhra Pradesh,Bapatla,2017,1322,196,944202,1328306,16
Andhra Pradesh,Bapatla,2018,435,473,86435,540335,16
Andhra Pradesh,Bapatla,2019,1345,413,1797694,1024836,11
Andhra Pradesh,Bapatla,2020,1477,642,1962246,771432,18
Andhra Pradesh,Bapatla,2021,834,505,1554379,757073,11
Andhra Pradesh,Bapatla,2022,985,42,409584,2172149,16
Andhra Pradesh,Bapatla,2023,1168,324,1821424,2749003,5
Andhra Pradesh,Bapatla,2024,1866,672,949790,1407908,1
Andhra Pradesh,Bapatla,2025,1647,580,1474263,2220242,6
Andhra Pradesh,Chittoor,2015,1412,712,1140129,470349,10
Andhra Pradesh,Chittoor,2016,1903,92,1222702,1536055,18
Andhra Pradesh,Chittoor,2017,1157,530,1851142,287713,7
Andhra Pradesh,Chittoor,2018,997,370,1634394,913649,6
Andhra Pradesh,Chittoor,2019,1192,995,333100,2046426,6
Andhra Pradesh,Chittoor,2020,492,606,1757595,162928,16
Andhra Pradesh,Chittoor,2021,755,165,1386592,91787,20
Andhra Pradesh,Chittoor,2022,1147,898,1404603,2388997,11
Andhra Pradesh,Chittoor,2023,1420,161,1874372,2811074,13
Andhra Pradesh,Chittoor,2024,1429,647,1149397,2857964,6
Andhra Pradesh,Chittoor,2025,388,99,766094,41974,16
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,1045,634,1830906,299620,11
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2016,313,959,510169,1490625,13
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2017,1283,629,1594879,743568,11
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2018,580,127,1853752,1215474,13
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2019,1600,865,1951505,1242743,4
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2020,712,854,1571093,2917901,1
