state,district,year,tourist_visits,domestic_tourists,foreign_tourists,tourism_revenue,hotels,tourist_sites
Andhra Pradesh,Alluri Sitharama Raju,2015,2288558,93759,106223,221858569,585,44
Andhra Pradesh,Alluri Sitharama Raju,2016,3998793,1833126,355010,120698242,580,1
Andhra Pradesh,Alluri Sitharama Raju,2017,1198629,2990073,235585,413705742,88,93
Andhra Pradesh,Alluri Sitharama Raju,2018,3376627,741126,159725,427056800,934,19
Andhra Pradesh,Alluri Sitharama Raju,2019,1437022,3517889,340615,137657468,467,144
Andhra Pradesh,Alluri Sitharama Raju,2020,674561,4273584,300422,347930856,607,14
Andhra Pradesh,Alluri Sitharama Raju,2021,248045,1994094,317262,163365338,912,99
Andhra Pradesh,Alluri Sitharama Raju,2022,674054,1952387,193804,388156228,635,200
Andhra Pradesh,Alluri Sitharama Raju,2023,4833275,3691745,481009,427030689,758,55
Andhra Pradesh,Alluri Sitharama Raju,2024,1593372,1883082,89661,39959216,678,154
Andhra Pradesh,Alluri Sitharama Raju,2025,1602620,3535973,101196,140549482,210,57
Andhra Pradesh,Anakapalli,2015,966990,1863960,7103,94152011,585,164
Andhra Pradesh,Anakapalli,2016,4525740,2726699,220941,183167665,334,114
Andhra Pradesh,Anakapalli,2017,1677980,909596,70178,11221740,516,32
Andhra Pradesh,Anakapalli,2018,343112,3055269,362842,41440923,889,186
Andhra Pradesh,Anakapalli,2019,4234978,3103368,309424,104491770,193,51
Andhra Pradesh,Anakapalli,2020,297820,3325947,423880,419718626,779,78
Andhra Pradesh,Anakapalli,2021,1984265,4053635,29853,463180870,857,61
Andhra Pradesh,Anakapalli,2022,1398720,1879814,204490,25729305,192,175
Andhra Pradesh,Anakapalli,2023,1924997,4415290,423761,214010231,221,24
Andhra Pradesh,Anakapalli,2024,4692327,2453318,154752,58227795,934,192
Andhra Pradesh,Anakapalli,2025,27362,2419902,55824,244847753,811,124
Andhra Pradesh,Anantapur,2015,3944554,939782,28755,298308956,849,112
Andhra Pradesh,Anantapur,2016,786105,2657704,425909,375443016,849,139
Andhra Pradesh,Anantapur,2017,2221061,3217296,396991,147041320,808,191
Andhra Pradesh,Anantapur,2018,2905400,1511616,448080,18570616,271,61
Andhra Pradesh,Anantapur,2019,4085665,2098892,128820,28163032,653,74
Andhra Pradesh,Anantapur,2020,128936,3346630,204059,300000045,55,24
Andhra Pradesh,Anantapur,2021,4756834,1587392,30789,305416184,53,126
Andhra Pradesh,Anantapur,2022,1231793,719015,48442,124621057,645,115
Andhra Pradesh,Anantapur,2023,218907,608781,368871,377363102,58,43
Andhra Pradesh,Anantapur,2024,2995835,632091,431774,351111136,890,160
Andhra Pradesh,Anantapur,2025,823440,4215269,227918,155905793,616,36
Andhra Pradesh,Annamayya,2015,804523,4192207,447792,149470455,560,15
Andhra Pradesh,Annamayya,2016,377834,3121157,113287,74565384,454,99
Andhra Pradesh,Annamayya,2017,2600373,1365887,194143,89723152,466,191
Andhra Pradesh,Annamayya,2018,1655339,3200180,422619,59072533,572,49
Andhra Pradesh,Annamayya,2019,4121079,2794789,368167,337959251,402,103
Andhra Pradesh,Annamayya,2020,4536478,2183110,318583,276289447,299,66
Andhra Pradesh,Annamayya,2021,4263004,4235820,188781,328119908,766,41
Andhra Pradesh,Annamayya,2022,1599900,2186156,345184,473345445,320,45
Andhra Pradesh,Annamayya,2023,3637937,823232,207024,371664082,603,34
Andhra Pradesh,Annamayya,2024,3169040,3405939,171212,84797491,823,12
Andhra Pradesh,Annamayya,2025,4906104,2754456,308,394240833,24,108
Andhra Pradesh,Bapatla,2015,4823789,464679,405662,214615080,261,20
Andhra Pradesh,Bapatla,2016,1711288,2781023,446761,404098362,514,122
Andhra Pradesh,Bapatla,2017,1229828,1563041,181454,105496111,804,79
Andhra Pradesh,Bapatla,2018,688641,582969,451972,12640234,241,191
Andhra Pradesh,Bapatla,2019,2651360,2663907,201901,126135175,673,150
Andhra Pradesh,Bapatla,2020,364794,3244173,137076,477767955,417,94
Andhra Pradesh,Bapatla,2021,2440091,3551742,463637,271623898,858,86
Andhra Pradesh,Bapatla,2022,3826885,3741128,407145,446922654,823,195
Andhra Pradesh,Bapatla,2023,3011301,4322160,172125,196308124,457,76
Andhra Pradesh,Bapatla,2024,971026,2433812,148235,251432165,829,141
Andhra Pradesh,Bapatla,2025,3220536,1103203,482868,302213337,915,73
Andhra Pradesh,Chittoor,2015,2944628,990468,10083,137618567,713,56
Andhra Pradesh,Chittoor,2016,264779,1917398,410032,313076084,24,170
Andhra Pradesh,Chittoor,2017,3036101,3223666,425823,17808387,234,43
Andhra Pradesh,Chittoor,2018,3615690,892631,247055,436948880,385,56
Andhra Pradesh,Chittoor,2019,1464774,875261,118456,338250619,716,86
Andhra Pradesh,Chittoor,2020,3495901,2407250,234985,406098698,790,183
Andhra Pradesh,Chittoor,2021,1655398,139822,378177,256570033,960,42
Andhra Pradesh,Chittoor,2022,387837,1653257,455126,61314677,830,170
Andhra Pradesh,Chittoor,2023,505645,91922,353682,387695708,701,170
Andhra Pradesh,Chittoor,2024,1573613,731858,54465,177962835,109,176
Andhra Pradesh,Chittoor,2025,4235135,3504158,56640,199328946,607,41
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,3817471,1438227,88452,460454223,519,18
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2016,3139414,2921259,219141,237908353,602,120
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2017,1536524,2684604,313809,438206881,743,191
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2018,347961,1932061,41129,476264794,145,173
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2019,2833193,3470987,40940,203719505,527,139
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2020,716127,1661004,137223,74696663,678,188
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2021,2242816,207042,427029,359987393,831,53
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,2298505,132032,12607,425252514,488,98
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2023,3324710,2436314,310580,100904670,320,109
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2024,3323566,1584380,430743,219355468,381,25
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2025,4411621,34156,470642,17650048,780,162
Andhra Pradesh,East Godavari,2015,489697,3751430,323731,248423243,176,114
Andhra Pradesh,East Godavari,2016,3290678,3729162,453644,68178349,628,155
Andhra Pradesh,East Godavari,2017,907278,3148799,344847,402274501,93,152
Andhra Pradesh,East Godavari,2018,4552905,981611,412244,304704340,772,50
Andhra Pradesh,East Godavari,2019,758327,4476891,334242,275547928,1000,25
Andhra Pradesh,East Godavari,2020,2121856,1030001,486155,391787030,344,61
Andhra Pradesh,East Godavari,2021,3433834,4180873,234679,195234064,454,166
Andhra Pradesh,East Godavari,2022,2609999,4111941,389543,184782045,781,58
Andhra Pradesh,East Godavari,2023,4278738,4015262,497495,327603143,676,91
Andhra Pradesh,East Godavari,2024,2312823,2454008,295671,109170936,276,164
Andhra Pradesh,East Godavari,2025,2692561,253600,93954,462501348,965,168
Andhra Pradesh,Eluru,2015,4890942,4499407,411870,144123384,660,18
Andhra Pradesh,Eluru,2016,1648235,863108,308199,355463080,965,180
Andhra Pradesh,Eluru,2017,2921157,333943,361897,491580284,767,156
Andhra Pradesh,Eluru,2018,2061811,3714126,489910,291127561,148,87
Andhra Pradesh,Eluru,2019,1325598,4300976,198546,350619161,519,143
Andhra Pradesh,Eluru,2020,2443940,2138178,186034,476587721,487,150
Andhra Pradesh,Eluru,2021,1795950,2401811,256230,129662915,218,130
Andhra Pradesh,Eluru,2022,3418219,3792251,456389,151646360,961,101
Andhra Pradesh,Eluru,2023,3693867,514955,137933,482930261,563,105
Andhra Pradesh,Eluru,2024,4500329,2227775,34026,56583380,136,197
Andhra Pradesh,Eluru,2025,2002709,4491201,172243,237032777,57,66
Andhra Pradesh,Guntur,2015,331200,1509661,14456,311154951,324,178
Andhra Pradesh,Guntur,2016,1608123,615686,195048,217711752,985,130
Andhra Pradesh,Guntur,2017,2483860,4360838,287261,351066511,523,147
Andhra Pradesh,Guntur,2018,1349351,2085438,325179,467635580,518,153
Andhra Pradesh,Guntur,2019,499132,1992716,245905,161270202,990,76
Andhra Pradesh,Guntur,2020,3889877,2570436,128579,112739028,829,177
Andhra Pradesh,Guntur,2021,4493718,1281724,132565,199079323,379,156
Andhra Pradesh,Guntur,2022,1718602,366436,416637,129462968,652,29
Andhra Pradesh,Guntur,2023,1276309,3704188,79663,202731394,678,1
Andhra Pradesh,Guntur,2024,1394713,138122,222402,104882906,284,167
Andhra Pradesh,Guntur,2025,1610030,1811962,450101,331789059,395,130
Andhra Pradesh,Kakinada,2015,474019,2817003,273528,221640542,76,127
Andhra Pradesh,Kakinada,2016,942554,197320,147138,362913222,893,21
Andhra Pradesh,Kakinada,2017,2805372,2516302,252394,309129857,148,127
Andhra Pradesh,Kakinada,2018,1991732,904962,139941,210580192,415,179
Andhra Pradesh,Kakinada,2019,3592988,2031608,298027,18290145,891,171
Andhra Pradesh,Kakinada,2020,3815165,1156456,47302,160377051,744,111
Andhra Pradesh,Kakinada,2021,2310093,2299336,498721,434835039,599,137
Andhra Pradesh,Kakinada,2022,2077466,2985181,372274,395161393,516,66
Andhra Pradesh,Kakinada,2023,2469595,897798,100269,424765357,637,179
Andhra Pradesh,Kakinada,2024,3424443,2389857,107274,111997460,921,173
Andhra Pradesh,Kakinada,2025,733845,1352797,47853,49802470,650,141
Andhra Pradesh,Krishna,2015,2979644,1101481,50428,224615085,230,146
Andhra Pradesh,Krishna,2016,1940303,307654,86554,105914579,337,116
Andhra Pradesh,Krishna,2017,2704580,1769241,382602,198328597,866,21
Andhra Pradesh,Krishna,2018,313869,3808796,489345,163978414,638,118
Andhra Pradesh,Krishna,2019,4680565,3704825,231330,380210964,161,130
Andhra Pradesh,Krishna,2020,2858889,2128639,181791,409771569,807,97
Andhra Pradesh,Krishna,2021,1170096,3182202,34909,149299081,835,6
Andhra Pradesh,Krishna,2022,1518559,147491,459864,169220693,859,37
Andhra Pradesh,Krishna,2023,2897742,1132169,375398,471245488,354,186
Andhra Pradesh,Krishna,2024,1502941,2983692,399958,86894030,19,34
Andhra Pradesh,Krishna,2025,3804796,2526000,408911,458144051,529,137
Andhra Pradesh,Kurnool,2015,3033693,2255430,453768,302286305,767,38
Andhra Pradesh,Kurnool,2016,1213633,2193705,235622,190016266,294,84
Andhra Pradesh,Kurnool,2017,4995866,3519038,9103,315528808,941,119
Andhra Pradesh,Kurnool,2018,3451120,846801,162011,362815528,927,47
Andhra Pradesh,Kurnool,2019,1152735,807672,421959,32780092,688,184
Andhra Pradesh,Kurnool,2020,1758684,497929,288470,140247391,439,129
Andhra Pradesh,Kurnool,2021,562231,2995961,148004,112156311,647,16
Andhra Pradesh,Kurnool,2022,1452607,2061778,351706,287223111,787,39
Andhra Pradesh,Kurnool,2023,4011424,1118637,469809,254399862,813,158
Andhra Pradesh,Kurnool,2024,4247600,668624,118296,228062565,327,58
Andhra Pradesh,Kurnool,2025,484660,2898817,68642,249214667,420,56
Andhra Pradesh,Nandyal,2015,412893,2527490,321584,189148603,678,90
Andhra Pradesh,Nandyal,2016,1998702,3459737,202855,171709344,592,175
Andhra Pradesh,Nandyal,2017,2623508,1162579,292368,260669666,217,197
Andhra Pradesh,Nandyal,2018,3848659,3752860,53936,87566160,597,101
Andhra Pradesh,Nandyal,2019,179627,3840888,194990,419023702,133,184
Andhra Pradesh,Nandyal,2020,1343059,3585729,429690,439604956,575,67
Andhra Pradesh,Nandyal,2021,1467547,454255,393148,332537040,448,161
Andhra Pradesh,Nandyal,2022,907624,107428,453715,284811434,389,72
Andhra Pradesh,Nandyal,2023,4758546,3627646,432994,213374955,371,65
Andhra Pradesh,Nandyal,2024,2429516,2816694,1984,304880973,935,48
Andhra Pradesh,Nandyal,2025,1484689,4131435,425755,9448034,911,85
Andhra Pradesh,NTR,2015,3901402,1047065,436517,414834572,968,42
Andhra Pradesh,NTR,2016,2365253,1795995,491806,328369246,179,172
Andhra Pradesh,NTR,2017,2831832,526733,119175,260070545,339,131
Andhra Pradesh,NTR,2018,931943,461134,59362,274410384,290,33
Andhra Pradesh,NTR,2019,1290917,498059,409515,197919655,632,61
Andhra Pradesh,NTR,2020,841114,813265,366081,292258832,55,127
Andhra Pradesh,NTR,2021,1348208,2144747,69623,79889704,379,112
Andhra Pradesh,NTR,2022,922654,202197,174311,243812095,977,4
Andhra Pradesh,NTR,2023,2761070,2113227,163521,281237531,450,76
Andhra Pradesh,NTR,2024,4788371,3359899,34765,358990368,697,150
Andhra Pradesh,NTR,2025,2450831,336212,190744,439278182,419,99
Andhra Pradesh,Palnadu,2015,579827,4178627,389991,104978355,291,181
Andhra Pradesh,Palnadu,2016,4366880,166165,48023,383262051,982,156
Andhra Pradesh,Palnadu,2017,1379187,627484,227611,240126745,315,151
Andhra Pradesh,Palnadu,2018,1934135,2098677,299652,24966651,678,165
Andhra Pradesh,Palnadu,2019,3824919,3022063,90905,204678768,790,148
Andhra Pradesh,Palnadu,2020,4057474,2262424,285505,306779677,679,145
Andhra Pradesh,Palnadu,2021,1029747,2839517,46050,147507794,390,77
Andhra Pradesh,Palnadu,2022,1897735,3596786,350801,221612122,69,96
Andhra Pradesh,Palnadu,2023,2517371,4148128,442171,280179536,560,193
Andhra Pradesh,Palnadu,2024,2954242,618035,149876,263584173,607,140
Andhra Pradesh,Palnadu,2025,4294200,4274749,231929,382856537,210,113
Andhra Pradesh,Parvathipuram Manyam,2015,2195393,500643,181626,258440252,375,63
Andhra Pradesh,Parvathipuram Manyam,2016,4184915,4475596,128676,263588512,921,184
Andhra Pradesh,Parvathipuram Manyam,2017,2739202,743878,388871,475365760,297,97
Andhra Pradesh,Parvathipuram Manyam,2018,854277,3602926,299729,113409040,839,36
Andhra Pradesh,Parvathipuram Manyam,2019,362962,3010176,400315,303275363,907,23
Andhra Pradesh,Parvathipuram Manyam,2020,4506522,2505566,267535,400001066,376,108
Andhra Pradesh,Parvathipuram Manyam,2021,1256201,4331928,234193,85147056,96,191
