state,district,year,exports,imports,trade_balance,foreign_investment,tariff_rate,trade_partners,export_growth
Rajasthan,Hanumangarh,2024,38.42,92.39,47.52,83.01,93.05,29.63,28.4
Gujarat,Gir Somnath,2017,12.49,46.41,63.27,43.98,42.98,75.66,83.42
Karnataka,Chitradurga,2019,26.78,41.95,84.71,38.36,89.99,15.12,22.48
Madhya Pradesh,Narsinghpur,2021,32.75,32.89,23.1,81.34,35.76,91.9,96.33
Uttar Pradesh,Hapur,2019,93.8,32.08,46.35,26.62,10.49,74.58,83.68
Uttarakhand,Rudraprayag,2022,41.09,75.84,35.81,88.84,84.41,39.71,92.13
Arunachal Pradesh,East Siang,2016,73.73,75.44,49.92,81.67,94.41,31.89,79.8
Gujarat,Amreli,2022,39.52,47.65,99.66,74.01,77.34,53.06,24.34
Haryana,Nuh,2021,58.01,74.31,73.2,49.22,66.3,79.24,29.36
Uttarakhand,Chamoli,2023,31.61,52.91,19.11,21.06,79.98,90.06,48.36
Punjab,Ludhiana,2025,56.04,82.16,26.49,65.48,13.04,86.08,63.49
Odisha,Nuapada,2018,66.96,79.64,34.91,75.84,67.84,81.35,48.39
Rajasthan,Kotputli-Behror,2025,85.75,43.98,46.54,58.65,80.17,46.75,72.9
Maharashtra,Jalna,2016,89.76,65.97,65.55,69.87,45.96,85.81,89.25
Karnataka,Bengaluru Rural,2018,55.36,30.5,20.75,86.32,24.88,99.22,12.63
Maharashtra,Hingoli,2023,54.09,47.77,71.11,18.51,17.84,72.0,82.86
Uttarakhand,Uttarkashi,2025,10.16,44.56,77.19,80.89,37.23,83.08,74.04
Sikkim,Namchi,2015,91.75,96.67,61.69,17.95,85.04,26.28,12.06
Rajasthan,Didwana-Kuchaman,2023,64.15,27.34,22.48,33.04,40.17,13.03,77.06
Uttarakhand,Pithoragarh,2022,94.05,25.01,68.52,12.32,91.73,92.42,83.18
Nagaland,Longleng,2024,66.66,18.55,44.86,24.97,60.68,16.68,81.99
Assam,Charaideo,2019,30.86,15.72,50.19,32.13,27.21,17.87,59.58
Andhra Pradesh,Parvathipuram Manyam,2017,32.69,24.63,73.7,47.77,76.82,44.47,64.58
Madhya Pradesh,Shivpuri,2017,24.68,42.99,96.12,76.99,86.68,74.95,85.91
Arunachal Pradesh,Changlang,2025,33.82,71.52,22.31,80.52,57.1,68.71,89.3
Madhya Pradesh,Shivpuri,2019,15.34,21.21,27.89,21.8,33.22,43.14,23.34
Odisha,Dhenkanal,2021,58.37,14.07,18.9,65.22,67.11,85.55,20.27
Meghalaya,West Khasi Hills,2016,45.65,63.48,22.97,67.84,29.56,59.63,97.46
Arunachal Pradesh,Upper Siang,2024,15.49,25.04,34.87,11.43,79.68,85.23,67.68
Assam,Barpeta,2023,60.19,74.99,87.8,94.69,23.98,12.64,92.71
Maharashtra,Nandurbar,2025,92.17,80.49,22.6,21.69,53.86,52.05,86.99
Gujarat,Botad,2018,54.42,34.74,88.67,14.82,13.36,97.79,30.43
Meghalaya,West Garo Hills,2015,58.82,10.03,65.17,78.84,25.73,68.61,35.35
Andhra Pradesh,Prakasam,2025,72.99,34.82,67.54,14.89,18.24,56.49,41.09
Chhattisgarh,Sukma,2022,66.77,59.74,68.1,30.09,50.04,21.14,30.46
Assam,Nalbari,2023,35.8,53.91,91.66,18.96,88.13,72.81,18.15
Mizoram,Saitual,2016,49.19,36.78,61.28,64.86,49.82,11.76,65.15
Uttar Pradesh,Mau,2017,71.76,35.43,18.56,44.86,21.78,32.36,38.84
Manipur,Bishnupur,2023,33.3,46.27,96.48,80.46,97.79,87.9,76.91
Uttar Pradesh,Hardoi,2023,56.57,89.4,72.53,20.62,87.28,57.08,90.21
Odisha,Mayurbhanj,2018,40.15,67.36,53.89,29.34,43.36,40.74,81.63
Telangana,Jayashankar Bhupalpally,2018,37.91,31.37,56.53,28.26,64.83,96.94,95.14
Madhya Pradesh,Dhar,2020,11.91,59.06,47.29,22.49,73.2,34.05,12.25
Karnataka,Haveri,2020,16.72,12.01,20.47,23.21,16.76,84.34,65.32
Tripura,North Tripura,2015,32.61,85.5,69.91,71.52,79.06,36.5,45.83
Rajasthan,Phalodi,2016,34.0,41.34,72.71,86.54,92.77,38.31,13.32
Nagaland,Mon,2019,49.38,87.99,29.08,10.83,65.05,15.33,58.58
Jharkhand,West Singhbhum,2015,69.9,65.19,80.06,16.75,94.28,35.23,41.77
Odisha,Boudh,2018,52.03,99.66,87.63,58.77,54.23,96.52,70.18
Meghalaya,West Garo Hills,2017,14.17,53.13,54.71,73.7,91.72,25.39,79.91
Odisha,Bhadrak,2023,18.04,43.4,24.03,21.34,18.88,15.14,63.25
Himachal Pradesh,Mandi,2020,62.8,82.17,76.19,22.33,49.79,49.0,84.68
Mizoram,Kolasib,2015,76.2,66.87,74.94,17.69,41.13,74.78,59.46
Gujarat,Anand,2025,64.91,29.48,45.45,40.41,28.65,76.1,65.56
Chhattisgarh,Baloda Bazar,2015,99.06,62.95,64.34,78.06,65.25,83.95,99.32
Sikkim,Pakyong,2018,49.97,74.59,38.87,18.01,69.92,77.76,56.49
Punjab,Patiala,2020,56.82,65.97,23.5,92.29,87.47,87.93,26.75
Uttar Pradesh,Kanpur Nagar,2019,92.4,20.54,97.02,13.65,89.24,60.87,86.81
Madhya Pradesh,Maihar,2025,55.22,67.64,24.29,43.73,49.36,77.56,77.85
Rajasthan,Barmer,2019,79.91,19.57,33.23,13.29,46.21,79.56,24.58
Meghalaya,East Jaintia Hills,2018,33.87,14.69,30.48,44.63,74.09,87.77,27.87
West Bengal,Alipurduar,2017,42.64,28.03,45.32,56.42,79.63,27.62,77.28
Bihar,Sheikhpura,2025,67.61,76.3,14.94,38.92,71.02,32.83,50.26
Rajasthan,Jhalawar,2020,38.0,67.33,93.41,57.99,92.41,11.52,18.81
Uttarakhand,Pauri Garhwal,2022,67.5,98.64,76.03,42.04,76.23,75.71,85.55
Rajasthan,Sikar,2024,80.08,57.71,44.21,53.04,10.68,63.84,99.65
Madhya Pradesh,Barwani,2023,97.88,80.09,78.16,12.54,24.61,27.75,83.52
Uttar Pradesh,Rae Bareli,2018,51.73,60.66,47.48,26.15,88.68,92.52,23.2
Uttar Pradesh,Bahraich,2016,83.62,95.98,73.15,97.99,75.72,14.26,67.32
Haryana,Panchkula,2015,86.12,55.36,87.74,97.71,92.17,69.23,98.47
Karnataka,Koppal,2020,85.88,92.7,37.99,51.31,58.35,41.72,30.94
West Bengal,Jalpaiguri,2023,20.67,41.02,70.55,59.39,89.94,58.82,26.84
Maharashtra,Latur,2018,65.79,61.44,47.23,21.13,47.05,24.71,71.66
Manipur,Ukhrul,2023,43.55,14.45,87.49,41.88,60.51,47.36,77.94
