state,district,year,road_length_km,railway_stations,buses_operating,registered_vehicles,airports_nearby
Andhra Pradesh,Alluri Sitharama Raju,2015,7700,44,1940,386524,3
Andhra Pradesh,Alluri Sitharama Raju,2016,3930,29,344,1719434,2
Andhra Pradesh,Alluri Sitharama Raju,2017,9682,16,919,631739,2
Andhra Pradesh,Alluri Sitharama Raju,2018,6554,4,1017,877859,1
Andhra Pradesh,Alluri Sitharama Raju,2019,6124,50,288,391243,1
Andhra Pradesh,Alluri Sitharama Raju,2020,3845,27,1930,1575984,1
Andhra Pradesh,Alluri Sitharama Raju,2021,6248,4,1384,829564,2
Andhra Pradesh,Alluri Sitharama Raju,2022,8592,31,1555,1065571,1
Andhra Pradesh,Alluri Sitharama Raju,2023,8705,33,1771,656861,3
Andhra Pradesh,Alluri Sitharama Raju,2024,5661,34,312,1274307,2
Andhra Pradesh,Alluri Sitharama Raju,2025,6537,36,471,234289,1
Andhra Pradesh,Anakapalli,2015,1225,20,682,1038818,3
Andhra Pradesh,Anakapalli,2016,4397,47,1614,285040,3
Andhra Pradesh,Anakapalli,2017,8403,46,347,1696803,2
Andhra Pradesh,Anakapalli,2018,7225,50,209,637252,0
Andhra Pradesh,Anakapalli,2019,8710,34,440,56923,0
Andhra Pradesh,Anakapalli,2020,1153,43,290,1919711,0
Andhra Pradesh,Anakapalli,2021,9577,37,811,1240396,3
Andhra Pradesh,Anakapalli,2022,660,13,444,651937,0
Andhra Pradesh,Anakapalli,2023,2533,50,253,1373170,2
Andhra Pradesh,Anakapalli,2024,8868,28,1179,1040015,1
Andhra Pradesh,Anakapalli,2025,4713,39,1431,924414,3
Andhra Pradesh,Anantapur,2015,925,9,522,1371002,2
Andhra Pradesh,Anantapur,2016,1951,13,1089,416532,0
Andhra Pradesh,Anantapur,2017,8357,9,1786,531146,1
Andhra Pradesh,Anantapur,2018,2080,45,705,1727926,0
Andhra Pradesh,Anantapur,2019,5314,13,1876,352650,1
Andhra Pradesh,Anantapur,2020,2503,29,1901,130448,1
Andhra Pradesh,Anantapur,2021,2512,34,1555,1570367,3
Andhra Pradesh,Anantapur,2022,9514,6,299,819570,3
Andhra Pradesh,Anantapur,2023,1402,27,622,1661931,2
Andhra Pradesh,Anantapur,2024,6444,31,1140,131231,0
Andhra Pradesh,Anantapur,2025,7455,6,1931,77649,3
Andhra Pradesh,Annamayya,2015,3526,29,782,800876,2
