state,district,year,metro_length,urban_projects,smart_city_score,traffic_index,public_transport_score,road_development,urban_population
Maharashtra,Mumbai Suburban,2017,61.48,69.65,97.43,60.76,26.16,29.54,48.2
Meghalaya,Ri Bhoi,2018,86.35,15.43,11.34,78.3,21.63,46.31,31.35
Madhya Pradesh,Balaghat,2020,47.63,14.79,41.82,37.22,19.78,39.04,41.83
West Bengal,Purba Bardhaman,2015,88.15,28.63,63.26,56.14,56.12,79.33,36.22
Maharashtra,Bhandara,2022,12.55,44.64,79.52,15.39,20.71,63.7,13.82
West Bengal,Kalimpong,2024,59.88,90.31,86.52,13.14,27.42,58.72,79.71
Odisha,Bhadrak,2020,29.44,49.67,84.55,25.33,68.74,93.15,70.79
Mizoram,Khawzawl,2020,13.42,39.3,14.97,72.18,59.28,35.38,33.65
Jharkhand,Palamu,2023,54.34,50.52,66.37,83.24,79.73,70.47,29.64
Rajasthan,Didwana-Kuchaman,2021,39.42,75.37,35.81,12.18,62.75,46.66,90.2
Jharkhand,Deoghar,2015,23.83,62.24,80.99,66.59,39.22,81.3,71.11
Meghalaya,East Garo Hills,2023,32.98,69.36,30.31,86.31,82.49,32.75,88.85
Uttar Pradesh,Gautam Buddha Nagar,2024,51.21,21.94,86.61,43.65,68.02,58.29,10.4
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,62.18,55.63,54.03,24.31,30.26,54.1,69.7
Gujarat,Tapi,2015,74.6,94.36,98.17,42.01,54.45,42.56,54.16
West Bengal,Howrah,2023,62.16,90.46,20.95,17.25,85.28,99.05,25.33
Gujarat,Bhavnagar,2022,31.84,47.09,96.11,32.6,84.36,46.8,77.33
Assam,Nalbari,2019,29.26,18.19,14.43,73.75,24.71,87.48,36.11
Madhya Pradesh,Datia,2020,17.56,49.99,91.88,42.94,21.37,73.54,97.32
Assam,Morigaon,2015,29.23,24.18,32.17,73.87,64.45,11.95,31.13
Rajasthan,Phalodi,2016,62.98,25.92,77.97,72.44,62.95,89.81,45.0
Tripura,Khowai,2024,31.2,17.89,37.03,70.37,22.14,77.28,89.48
Chhattisgarh,Rajnandgaon,2015,59.21,18.09,30.3,64.85,74.28,48.45,27.71
Gujarat,Surat,2017,82.2,72.3,63.39,69.93,65.66,87.54,16.62
Chhattisgarh,Gariaband,2021,80.49,49.01,28.92,80.84,92.2,20.28,73.09
Jharkhand,Seraikela-Kharsawan,2018,43.01,95.86,90.33,91.25,97.91,35.11,34.71
Uttar Pradesh,Prayagraj,2019,28.18,30.64,85.0,63.79,98.15,36.02,45.77
Mizoram,Hnahthial,2015,34.66,27.05,23.46,62.52,60.57,88.12,34.69
Chhattisgarh,Bastar,2018,45.92,52.99,90.14,94.07,35.37,75.05,15.88
Uttar Pradesh,Auraiya,2018,51.84,76.63,11.06,82.32,57.21,48.18,23.92
Uttar Pradesh,Banda,2017,17.94,86.8,24.57,35.87,45.17,88.87,20.88
Madhya Pradesh,Alirajpur,2022,84.4,48.42,40.64,90.57,79.91,23.11,34.36
Uttarakhand,Uttarkashi,2023,99.75,36.78,22.58,95.44,53.97,52.45,12.47
Arunachal Pradesh,Lower Subansiri,2017,25.37,27.19,21.63,29.91,84.78,18.59,13.03
Karnataka,Kalaburagi,2024,71.83,30.23,24.44,51.02,88.71,18.52,59.4
Uttar Pradesh,Banda,2023,46.79,72.83,86.73,50.77,56.86,97.29,80.34
Rajasthan,Jodhpur,2022,95.84,71.04,49.65,40.15,14.05,61.58,40.77
Assam,Goalpara,2016,97.78,67.59,91.47,37.32,99.2,89.29,80.29
Arunachal Pradesh,Kurung Kumey,2015,42.93,94.68,42.52,50.42,61.9,21.39,81.25
Gujarat,Gir Somnath,2017,81.71,99.58,80.68,44.9,11.85,63.66,93.07
Kerala,Ernakulam,2022,12.65,57.24,49.25,73.64,26.92,88.39,21.69
Assam,Kamrup,2018,64.78,73.83,89.01,11.22,75.89,68.83,67.81
Telangana,Sangareddy,2015,31.31,38.49,25.19,84.68,26.76,74.0,37.89
Karnataka,Kolar,2017,43.15,85.43,26.11,72.77,84.04,77.0,17.33
Chhattisgarh,Baloda Bazar,2018,71.62,42.74,80.88,58.0,89.17,20.79,24.4
Jharkhand,Deoghar,2019,88.42,83.76,98.37,33.83,38.8,20.36,13.21
Mizoram,Saitual,2023,48.99,38.48,74.32,82.0,54.12,15.56,61.36
Sikkim,Mangan,2022,58.43,56.14,83.2,78.89,28.8,81.09,24.31
Sikkim,Mangan,2020,23.75,38.69,45.53,18.88,93.74,25.86,81.21
Arunachal Pradesh,Namsai,2020,69.98,50.71,46.04,95.62,93.75,95.29,27.61
Tamil Nadu,Dharmapuri,2020,53.26,67.11,17.09,50.97,20.6,36.88,61.89
Rajasthan,Rajsamand,2016,83.22,49.76,27.17,10.84,17.79,99.51,74.3
Jharkhand,Pakur,2016,16.24,36.27,25.8,84.46,62.41,28.76,69.15
Haryana,Jhajjar,2019,51.5,60.61,31.33,52.52,94.47,55.17,48.25
Bihar,Nawada,2018,59.34,68.76,70.35,43.82,96.72,12.81,15.23
Maharashtra,Osmanabad (Dharashiv),2022,83.02,14.81,66.58,40.87,50.84,16.21,77.99
Assam,Dhubri,2022,29.86,38.32,37.2,98.09,60.68,65.39,21.66
Punjab,Pathankot,2016,86.91,11.87,74.51,55.35,81.23,93.4,58.28
Uttarakhand,Bageshwar,2018,13.34,33.84,47.94,14.18,24.59,79.93,84.84
