state,district,year,rainfall,groundwater_level,water_supply,irrigation_area,reservoir_capacity,water_quality,drinking_water_access
Karnataka,Yadgir,2016,83.33,22.55,65.85,99.85,97.93,94.26,13.09
Karnataka,Chikkaballapur,2018,68.68,25.38,41.81,37.56,40.39,43.68,49.54
Meghalaya,West Khasi Hills,2021,45.0,72.52,57.39,42.32,58.46,77.17,51.06
Punjab,Tarn Taran,2025,98.56,81.4,16.93,47.02,17.97,88.24,11.15
Telangana,Peddapalli,2025,27.35,73.84,79.58,76.9,94.65,96.54,13.82
Madhya Pradesh,Dhar,2024,35.4,98.1,62.37,77.57,37.2,78.41,28.26
Gujarat,Jamnagar,2020,31.81,25.8,86.55,65.35,88.82,35.89,19.32
Madhya Pradesh,Agar Malwa,2017,36.84,14.73,91.54,83.1,30.14,78.33,25.52
Telangana,Khammam,2025,95.44,84.27,10.66,54.98,81.67,57.91,15.95
Bihar,Munger,2022,58.14,64.86,12.86,15.84,59.61,35.06,37.85
Maharashtra,Kolhapur,2020,39.03,24.66,71.09,97.5,37.0,21.76,31.67
Jharkhand,East Singhbhum,2020,78.76,44.14,36.35,57.6,62.42,72.63,43.98
Tamil Nadu,Mayiladuthurai,2016,67.81,76.45,99.57,38.9,41.87,82.62,37.98
Manipur,Kakching,2015,68.73,78.13,46.8,18.91,11.56,88.48,40.33
Chhattisgarh,Mungeli,2020,40.82,45.62,35.2,35.28,91.63,72.96,70.43
West Bengal,Bankura,2024,84.49,43.04,38.44,81.32,30.53,92.77,11.74
Madhya Pradesh,Shahdol,2024,23.72,73.38,30.03,29.85,92.44,63.4,79.43
Uttar Pradesh,Gonda,2015,52.44,41.42,57.0,21.4,30.81,25.66,45.37
Andhra Pradesh,Nandyal,2023,17.15,53.25,52.21,21.13,36.58,12.87,43.13
Bihar,Munger,2022,23.19,74.65,72.26,10.47,12.79,34.35,47.54
Karnataka,Mandya,2022,93.03,76.53,64.79,97.23,51.95,34.25,82.64
Bihar,Katihar,2017,63.93,41.05,95.57,16.01,13.93,24.86,80.84
Kerala,Ernakulam,2018,26.13,94.08,32.0,56.8,30.79,18.8,21.46
Rajasthan,Baran,2019,67.12,37.79,23.93,62.1,36.51,18.85,86.61
Sikkim,Namchi,2023,22.82,25.96,50.67,32.77,61.96,13.8,89.99
Tamil Nadu,Krishnagiri,2017,77.58,55.79,78.07,15.27,55.43,40.96,74.03
Uttar Pradesh,Unnao,2021,49.8,27.45,48.07,93.27,49.41,72.53,42.26
Assam,Dibrugarh,2015,42.56,37.99,41.34,96.32,63.39,62.57,59.71
Chhattisgarh,Narayanpur,2022,15.67,68.74,84.19,24.54,84.33,68.72,73.4
Karnataka,Mysuru,2017,54.47,20.69,17.7,58.27,94.04,17.67,63.68
Odisha,Sambalpur,2024,91.42,15.72,86.99,62.75,15.03,80.79,47.14
Himachal Pradesh,Kangra,2020,16.05,63.37,46.34,22.96,23.82,47.62,28.84
Bihar,Nalanda,2022,79.76,90.53,18.62,27.14,31.67,46.28,91.87
Assam,Darrang,2016,34.25,79.72,94.99,68.62,12.57,92.84,80.47
Maharashtra,Akola,2021,38.45,94.95,12.73,81.75,33.58,46.18,63.34
Assam,Baksa,2015,97.25,38.61,58.49,44.8,56.09,99.53,25.51
Uttar Pradesh,Ayodhya,2015,48.56,26.42,64.33,81.47,42.7,82.6,59.87
Rajasthan,Churu,2024,32.57,10.7,11.7,57.63,52.08,45.82,95.29
Nagaland,Phek,2023,37.8,89.77,10.15,47.45,13.18,60.5,82.86
Maharashtra,Solapur,2015,25.18,80.33,95.28,36.97,33.13,96.22,89.52
Chhattisgarh,Sakti,2024,79.52,34.08,85.69,25.38,33.8,82.12,58.33
Manipur,Tengnoupal,2017,58.41,78.58,30.59,47.62,28.45,52.25,52.32
Himachal Pradesh,Sirmaur,2023,64.96,80.03,79.28,94.76,40.62,45.85,39.71
Haryana,Sonipat,2024,30.73,32.15,27.35,86.84,47.82,47.74,70.39
Karnataka,Kolar,2018,78.35,33.65,21.54,87.9,37.23,43.57,72.11
Gujarat,Vadodara,2023,88.27,45.03,82.11,78.58,46.21,31.74,90.47
Uttar Pradesh,Rampur,2018,38.73,96.03,72.97,62.54,95.54,69.14,23.71
Bihar,Siwan,2025,10.63,39.33,68.0,92.02,73.63,39.71,57.65
Odisha,Deogarh,2024,21.58,18.85,86.18,94.52,34.78,97.04,59.58
Assam,Udalguri,2025,90.32,12.22,24.67,45.79,11.1,31.69,60.52
Andhra Pradesh,Anakapalli,2015,90.61,63.54,43.82,90.88,12.4,24.32,26.59
Madhya Pradesh,Balaghat,2022,45.71,62.03,76.49,42.08,12.0,53.24,85.65
Mizoram,Lawngtlai,2018,27.46,56.12,21.49,18.14,44.65,98.39,92.36
Andhra Pradesh,West Godavari,2021,69.61,15.41,33.33,44.45,22.5,29.07,58.25
Chhattisgarh,Dhamtari,2018,98.79,28.54,33.64,40.13,36.61,13.99,96.49
Punjab,Moga,2015,73.11,38.46,69.88,54.86,63.54,12.3,31.78
Chhattisgarh,Rajnandgaon,2020,92.22,87.43,14.61,86.63,52.64,85.09,28.71
Assam,Dibrugarh,2025,53.62,68.32,89.69,60.29,34.12,90.72,84.22
Chhattisgarh,Janjgir-Champa,2025,46.49,42.5,82.97,70.13,91.69,71.35,66.64
Odisha,Rayagada,2025,67.47,47.79,79.89,23.43,73.02,83.87,14.29
Chhattisgarh,Sakti,2015,68.21,66.76,50.78,83.19,48.72,33.51,89.21
Jharkhand,Chatra,2015,91.54,32.26,75.75,90.0,63.96,32.12,43.84
Mizoram,Serchhip,2019,73.83,23.35,37.55,99.2,13.63,53.36,76.19
Mizoram,Khawzawl,2025,66.95,82.89,33.11,46.9,38.29,58.97,31.65
Nagaland,Tuensang,2021,97.66,88.08,51.98,54.81,33.0,45.07,52.4
Uttar Pradesh,Unnao,2016,25.79,77.87,32.65,74.08,62.95,46.49,13.0
Madhya Pradesh,Jabalpur,2015,78.68,33.69,40.73,77.37,97.97,22.87,54.19
Tamil Nadu,Tiruchirappalli,2025,63.5,55.28,10.84,25.69,48.56,51.3,89.34
Haryana,Charkhi Dadri,2015,29.32,16.77,54.58,77.64,27.0,64.83,55.52
Maharashtra,Thane,2017,50.22,11.44,50.86,63.9,44.41,65.29,23.53
Haryana,Jhajjar,2021,70.13,14.27,19.24,81.47,46.81,79.2,61.1
Tamil Nadu,Cuddalore,2016,98.27,77.87,63.01,76.07,32.83,28.91,93.53
Madhya Pradesh,Bhopal,2021,71.92,53.93,66.12,17.32,37.48,79.86,79.79
